onset	duration	stim_type	identity	orientation	reaction_time	response
15.05	5	face	id3	a3	n/a	n/a
20.05	5	face	id3	a3	2.07	same
25.07	5	face	id1	a2	2.32	different
30.07	5	face	id1	a5	2.05	same
35.07	5	face	id4	a3	2.04	different
40.07	5	face	id3	a2	2.11	different
45.07	5	face	id3	a4	1.98	same
50.07	5	face	id4	a1	2.06	different
55.07	5	face	id3	a1	2.24	different
60.07	5	face	id1	a1	2.25	different
65.07	5	face	id1	a3	2.09	same
70.07	5	face	id1	a4	2.4	same
75.07	5	face	id2	a5	2.09	different
80.07	5	face	id4	a5	2.03	different
85.08	5	face	id3	a5	2.62	different
90.08	5	face	id2	a2	2.24	different
95.08	5	face	id4	a4	2.26	different
100.08	5	face	id4	a2	2.16	same
105.08	5	face	id2	a1	2.21	different
110.08	5	face	id2	a4	2.15	same
115.06	5	fixation	n/a	n/a	n/a	n/a
120.08	5	face	id2	a3	2.19	same
125.08	5	face	id2	a3	2.21	same
130.09	5	face	id4	a5	2.23	different
135.09	5	face	id2	a5	2.1	different
140.09	5	face	id4	a3	2.21	different
145.09	5	face	id3	a5	2.66	different
150.09	5	face	id3	a2	2.26	same
155.1	5	face	id4	a2	2.54	different
160.1	5	face	id3	a1	2.21	different
165.1	5	face	id2	a1	2.26	different
170.1	5	face	id4	a4	2.11	different
175.1	5	face	id1	a5	2.15	different
180.1	5	face	id4	a1	2.13	different
185.1	5	face	id2	a4	2.14	different
190.1	5	face	id3	a3	2.39	different
195.1	5	face	id1	a3	2.19	different
200.1	5	face	id3	a4	2.28	different
205.1	5	face	id1	a4	2.26	different
210.1	5	face	id2	a2	2.32	different
215.1	5	face	id1	a2	2.35	different
220.08	5	fixation	n/a	n/a	n/a	n/a
225.1	5	face	id1	a1	2.12	same
230.12	5	face	id1	a1	2.55	same
235.12	5	face	id3	a2	2.19	different
240.12	5	face	id2	a3	2.48	different
245.12	5	face	id1	a4	2.16	different
250.12	5	face	id4	a3	2.05	different
255.12	5	face	id1	a3	2.16	different
260.12	5	face	id1	a2	2.12	same
265.12	5	face	id3	a3	2.18	different
270.12	5	face	id4	a1	2.34	different
275.12	5	face	id3	a4	2.37	different
280.12	5	face	id3	a5	2.29	same
285.13	5	face	id2	a1	2.17	different
290.13	5	face	id4	a5	2.83	different
295.13	5	face	id4	a2	2.14	same
300.13	5	face	id2	a5	2.48	different
305.13	5	face	id3	a1	2.28	different
310.13	5	face	id1	a5	2.28	different
315.13	5	face	id2	a4	2.55	different
320.13	5	face	id4	a4	2.18	different
325.11	5	fixation	n/a	n/a	n/a	n/a
330.13	5	face	id2	a2	2.0	same
