onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id1	a3	n/a	n/a
20.07	5	face	id1	a3	2.52	same
25.05	5	fixation	n/a	n/a	n/a	n/a
30.07	5	face	id2	a2	2.2	different
35.09	5	face	id3	a2	2.23	different
40.09	5	face	id2	a5	3.6	same
45.09	5	face	id3	a5	2.33	different
50.11	5	face	id2	a3	2.27	different
55.11	5	face	id1	a4	2.34	same
60.11	5	face	id4	a2	2.24	different
65.11	5	face	id1	a2	3.07	different
70.11	5	face	id2	a1	2.12	different
75.11	5	face	id3	a3	2.14	different
80.11	5	face	id1	a1	2.15	different
85.12	5	face	id4	a4	1.98	different
90.12	5	face	id4	a3	2.15	same
95.13	5	face	id4	a5	2.17	same
100.13	5	face	id1	a5	2.08	different
105.13	5	face	id3	a1	2.01	different
110.13	5	face	id3	a4	2.48	same
115.13	5	face	id4	a1	2.0	different
120.13	5	face	id2	a4	2.01	different
125.13	5	face	id2	a4	2.09	same
130.1	5	fixation	n/a	n/a	n/a	n/a
135.13	5	face	id3	a3	2.09	different
140.13	5	face	id3	a2	2.58	same
145.13	5	face	id4	a4	2.21	different
150.14	5	face	id3	a5	1.98	different
155.14	5	face	id1	a2	2.08	different
160.15	5	face	id3	a4	2.05	different
165.15	5	face	id4	a2	2.49	different
170.15	5	face	id4	a5	2.08	same
175.15	5	face	id2	a1	2.22	different
180.15	5	face	id4	a3	2.06	different
185.15	5	face	id1	a1	2.06	different
190.15	5	face	id1	a4	2.19	same
195.15	5	face	id2	a2	2.88	different
200.15	5	face	id3	a1	2.38	different
205.15	5	face	id1	a5	2.15	different
210.15	5	face	id4	a1	2.0	different
215.16	5	face	id2	a5	2.01	different
220.16	5	face	id1	a3	2.35	different
225.16	5	face	id2	a3	2.12	different
230.16	5	face	id2	a3	2.38	same
235.13	5	fixation	n/a	n/a	n/a	n/a
240.16	5	face	id4	a3	2.1	different
245.16	5	face	id3	a2	2.4	different
250.16	5	face	id1	a4	2.09	different
255.16	5	face	id3	a5	3.47	different
260.18	5	face	id4	a5	2.36	different
265.18	5	face	id2	a5	2.1	different
270.18	5	face	id4	a2	2.08	different
275.18	5	face	id3	a1	2.26	different
280.18	5	face	id2	a1	2.18	different
285.18	5	face	id2	a4	2.07	same
290.18	5	face	id1	a1	2.08	different
295.18	5	face	id3	a4	1.99	different
300.18	5	face	id3	a3	2.05	same
305.18	5	face	id4	a1	2.51	different
310.18	5	face	id4	a4	2.59	same
315.18	5	face	id1	a3	2.4	different
320.19	5	face	id2	a2	2.07	different
325.19	5	face	id1	a5	2.04	different
330.19	5	face	id1	a2	2.22	same
