onset	duration	stim_type	identity	orientation	reaction_time	response
15.08	5	face	id2	a1	n/a	n/a
20.08	5	face	id2	a1	2.02	same
25.09	5	face	id4	a5	1.92	different
30.09	5	face	id4	a1	1.99	same
35.09	5	face	id1	a2	2.12	different
40.09	5	face	id3	a4	2.12	different
45.09	5	face	id4	a2	2.11	different
50.09	5	face	id3	a1	2.49	different
55.09	5	face	id2	a5	2.13	different
60.09	5	face	id1	a5	2.11	different
65.09	5	face	id4	a3	2.11	different
70.09	5	face	id1	a1	2.0	different
75.09	5	face	id2	a4	1.92	different
80.09	5	face	id1	a3	2.28	different
85.11	5	face	id3	a5	2.19	different
90.11	5	face	id2	a2	2.3	different
95.11	5	face	id4	a4	2.43	different
100.11	5	face	id3	a3	1.98	different
105.11	5	face	id2	a3	2.05	same
110.11	5	face	id3	a2	2.15	different
115.08	5	fixation	n/a	n/a	n/a	n/a
120.11	5	face	id1	a4	2.14	different
125.11	5	face	id1	a4	2.03	same
130.11	5	face	id1	a2	2.08	same
135.12	5	face	id2	a1	2.16	different
140.12	5	face	id3	a1	2.0	different
145.12	5	face	id4	a1	2.17	different
150.12	5	face	id4	a2	2.38	same
155.12	5	face	id1	a3	2.43	different
160.12	5	face	id2	a5	2.22	different
165.12	5	face	id2	a2	2.15	same
170.12	5	face	id4	a5	1.95	different
175.12	5	face	id3	a3	1.92	different
180.12	5	face	id3	a2	2.12	same
185.12	5	face	id1	a5	2.14	different
190.12	5	face	id3	a4	2.27	same
195.12	5	face	id2	a4	2.35	different
200.14	5	face	id3	a5	3.32	different
205.14	5	face	id4	a4	2.06	different
210.14	5	face	id2	a3	1.99	different
215.14	5	face	id4	a3	2.02	different
220.11	5	fixation	n/a	n/a	n/a	n/a
225.14	5	face	id1	a1	2.07	different
230.14	5	face	id1	a1	2.33	same
235.14	5	face	id4	a4	2.13	different
240.14	5	face	id4	a2	1.99	same
245.15	5	face	id2	a2	2.11	different
250.15	5	face	id3	a1	3.2	different
255.15	5	face	id4	a3	2.47	different
260.15	5	face	id3	a5	2.3	different
265.15	5	face	id2	a5	2.3	different
270.15	5	face	id3	a2	3.29	same
275.15	5	face	id4	a5	2.11	different
280.15	5	face	id3	a4	2.1	different
285.16	5	face	id4	a1	2.25	different
290.16	5	face	id3	a3	1.96	different
295.16	5	face	id2	a1	2.21	different
300.16	5	face	id1	a2	1.92	different
305.16	5	face	id1	a3	2.12	same
310.17	5	face	id1	a4	2.27	same
315.17	5	face	id2	a3	2.13	different
320.17	5	face	id1	a5	2.27	different
325.14	5	fixation	n/a	n/a	n/a	n/a
330.17	5	face	id2	a4	1.95	different
