onset	duration	stim_type	identity	orientation	reaction_time	response
15.08	5	face	id1	a5	n/a	n/a
20.08	5	face	id1	a5	2.38	same
25.08	5	face	id4	a5	4.9	different
30.08	5	face	id1	a1	2.22	different
35.09	5	face	id4	a2	2.16	different
40.09	5	face	id3	a2	2.09	different
45.09	5	face	id2	a5	2.1	different
50.09	5	face	id1	a2	2.12	different
55.09	5	face	id3	a1	2.09	different
60.09	5	face	id1	a3	2.12	different
65.1	5	face	id2	a1	2.17	different
70.1	5	face	id1	a4	1.99	different
75.1	5	face	id3	a3	2.16	different
80.1	5	face	id4	a4	2.11	different
85.1	5	face	id4	a3	1.97	same
90.09	5	face	id4	a1	2.3	same
95.09	5	face	id2	a3	2.13	different
100.09	5	face	id3	a4	2.15	different
105.11	5	face	id2	a4	2.5	different
110.11	5	face	id2	a2	2.07	same
115.07	5	fixation	n/a	n/a	n/a	n/a
120.1	5	face	id3	a5	2.15	different
125.12	5	face	id3	a5	2.98	same
130.12	5	face	id4	a2	2.19	different
135.12	5	face	id1	a5	2.07	different
140.11	5	face	id1	a2	2.06	same
145.11	5	face	id1	a1	2.06	same
150.11	5	face	id2	a5	2.05	different
155.11	5	face	id4	a4	2.04	same
160.13	5	face	id3	a1	2.17	different
165.12	5	face	id4	a1	2.23	different
170.12	5	face	id4	a5	2.11	different
175.12	5	face	id3	a4	2.19	different
180.12	5	face	id2	a2	2.19	different
185.12	5	face	id1	a3	2.14	different
190.13	5	face	id3	a2	2.1	different
195.13	5	face	id3	a3	2.08	same
200.13	5	face	id4	a3	2.68	different
205.13	5	face	id2	a3	2.22	different
210.13	5	face	id2	a4	2.1	same
215.13	5	face	id2	a1	2.08	same
220.1	5	fixation	n/a	n/a	n/a	n/a
225.14	5	face	id1	a4	2.1	different
230.14	5	face	id1	a4	2.14	same
235.14	5	face	id2	a3	2.2	different
240.14	5	face	id2	a5	2.63	same
245.14	5	face	id4	a1	2.25	different
250.15	5	face	id1	a2	n/a	n/a
255.15	5	face	id2	a1	2.08	different
260.15	5	face	id4	a3	2.11	different
265.15	5	face	id3	a1	2.12	different
270.14	5	face	id2	a2	2.24	different
275.14	5	face	id4	a5	2.21	different
280.14	5	face	id3	a2	3.14	different
285.16	5	face	id1	a1	2.18	different
290.16	5	face	id3	a4	2.18	different
295.15	5	face	id1	a5	2.11	same
300.15	5	face	id4	a2	2.12	different
305.15	5	face	id4	a4	2.11	same
310.15	5	face	id3	a5	3.76	same
315.17	5	face	id2	a4	2.18	different
320.16	5	face	id1	a3	2.23	different
325.13	5	fixation	n/a	n/a	n/a	n/a
330.16	5	face	id3	a3	2.24	different
