onset	duration	stim_type	identity	orientation	reaction_time	response
15.09	5	face	id3	a5	n/a	n/a
20.08	5	face	id3	a5	2.11	same
25.08	5	face	id4	a5	2.34	different
30.08	5	face	id3	a1	2.12	different
35.08	5	face	id3	a3	2.09	same
40.08	5	face	id1	a5	2.1	different
45.08	5	face	id4	a1	2.16	different
50.09	5	face	id1	a1	2.08	different
55.09	5	face	id1	a4	2.09	same
60.06	5	fixation	n/a	n/a	n/a	n/a
65.09	5	face	id4	a2	1.94	different
70.1	5	face	id1	a2	2.95	different
75.1	5	face	id4	a4	2.09	same
80.1	5	face	id3	a2	2.09	different
85.1	5	face	id2	a1	2.04	different
90.1	5	face	id4	a3	2.09	different
95.1	5	face	id3	a4	2.06	different
100.1	5	face	id1	a3	2.03	different
105.11	5	face	id2	a3	2.08	different
110.11	5	face	id2	a2	1.92	same
115.11	5	face	id2	a4	1.8	same
120.11	5	face	id2	a5	2.08	same
125.11	5	face	id2	a5	2.08	same
130.1	5	face	id3	a5	2.09	different
135.1	5	face	id3	a1	2.06	same
140.12	5	face	id2	a2	1.94	different
145.12	5	face	id3	a2	2.56	different
150.12	5	face	id1	a2	2.11	different
155.11	5	face	id1	a1	2.01	same
160.11	5	face	id1	a3	2.02	same
165.11	5	face	id4	a1	2.17	different
170.13	5	face	id4	a3	2.3	different
175.12	5	face	id2	a1	2.08	different
180.12	5	face	id2	a4	2.11	same
185.12	5	face	id3	a3	2.14	different
190.12	5	face	id4	a5	2.36	different
195.12	5	face	id2	a3	2.14	different
200.12	5	face	id4	a4	2.06	different
205.13	5	face	id1	a4	2.07	different
210.13	5	face	id1	a5	2.04	same
215.13	5	face	id4	a2	2.19	different
220.1	5	fixation	n/a	n/a	n/a	n/a
225.13	5	face	id3	a4	2.05	different
230.13	5	face	id3	a4	1.99	same
235.14	5	face	id3	a1	2.07	same
240.14	5	face	id3	a2	2.13	same
245.14	5	face	id2	a2	2.21	different
250.14	5	face	id1	a1	2.02	different
255.14	5	face	id3	a3	2.13	different
260.13	5	face	id1	a3	2.31	different
265.13	5	face	id4	a3	2.18	different
270.15	5	face	id1	a2	2.18	different
275.15	5	face	id4	a5	2.24	different
280.15	5	face	id2	a5	2.38	different
285.14	5	face	id4	a2	2.08	different
290.14	5	face	id1	a5	2.19	different
295.14	5	face	id1	a4	2.04	same
300.16	5	face	id2	a4	2.27	same
305.16	5	face	id4	a4	2.13	different
310.15	5	face	id3	a5	2.18	different
315.15	5	face	id2	a3	2.03	different
320.15	5	face	id4	a1	2.95	different
325.12	5	fixation	n/a	n/a	n/a	n/a
330.15	5	face	id2	a1	1.95	different
