onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id1	a2	n/a	n/a
20.07	5	face	id1	a2	1.75	same
25.07	5	face	id2	a5	2.26	different
30.07	5	face	id2	a2	2.27	same
35.07	5	face	id3	a3	2.09	different
40.07	5	face	id1	a3	2.49	different
45.07	5	face	id4	a2	2.01	different
50.07	5	face	id1	a1	2.18	different
55.09	5	face	id2	a3	2.01	different
60.09	5	face	id4	a1	2.26	different
65.05	5	fixation	n/a	n/a	n/a	n/a
70.09	5	face	id3	a4	2.06	different
75.09	5	face	id3	a2	2.1	same
80.09	5	face	id3	a1	2.14	same
85.09	5	face	id3	a5	2.32	same
90.09	5	face	id4	a5	2.08	different
95.09	5	face	id4	a4	2.13	same
100.09	5	face	id2	a4	2.27	different
105.09	5	face	id1	a4	2.18	different
110.09	5	face	id2	a1	2.03	different
115.1	5	face	id4	a3	2.01	different
120.1	5	face	id1	a5	2.27	different
125.1	5	face	id1	a5	2.09	different
130.1	5	face	id3	a1	2.15	different
135.1	5	face	id2	a5	2.23	different
140.1	5	face	id3	a3	2.24	different
145.1	5	face	id1	a4	2.17	different
150.1	5	face	id4	a5	2.09	different
155.1	5	face	id1	a1	2.55	different
160.11	5	face	id2	a4	2.09	different
165.1	5	face	id1	a2	2.35	different
170.1	5	face	id4	a3	2.01	different
175.1	5	face	id3	a2	1.99	different
180.12	5	face	id2	a3	2.17	different
185.12	5	face	id1	a3	2.02	different
190.12	5	face	id3	a5	1.99	different
195.08	5	fixation	n/a	n/a	n/a	n/a
200.12	5	face	id2	a2	2.07	different
205.12	5	face	id4	a2	2.48	different
210.12	5	face	id3	a4	2.16	different
215.12	5	face	id2	a1	2.08	different
220.12	5	face	id4	a4	2.21	different
225.13	5	face	id4	a1	2.11	same
230.13	5	face	id4	a1	2.04	same
235.13	5	face	id2	a5	2.06	different
240.13	5	face	id1	a5	2.04	different
245.13	5	face	id2	a4	2.01	different
250.13	5	face	id4	a2	2.04	different
255.13	5	face	id3	a1	2.06	different
260.13	5	face	id1	a3	2.09	different
265.13	5	face	id2	a1	2.12	different
270.13	5	face	id1	a1	2.32	different
275.13	5	face	id3	a5	2.15	different
280.13	5	face	id4	a3	2.01	different
285.15	5	face	id3	a4	2.11	different
290.15	5	face	id4	a5	2.03	different
295.15	5	face	id3	a3	2.01	different
300.15	5	face	id2	a2	2.36	different
305.15	5	face	id4	a4	2.06	different
310.15	5	face	id2	a3	2.38	different
315.15	5	face	id3	a2	2.34	different
320.15	5	face	id1	a4	2.42	different
325.15	5	face	id1	a2	2.15	same
330.12	5	fixation	n/a	n/a	n/a	n/a
