onset	duration	stim_type	identity	orientation	reaction_time	response
15.05	5	fixation	n/a	n/a	n/a	n/a
20.05	5	fixation	n/a	n/a	n/a	n/a
25.1	5	face	id2	a5	n/a	n/a
30.08	5	face	id1	a1	2.0	different
35.1	5	face	id4	a4	2.02	different
40.1	5	face	id1	a2	1.97	different
45.09	5	face	id3	a1	1.93	different
50.09	5	face	id1	a4	2.09	different
55.09	5	face	id1	a3	1.95	same
60.09	5	face	id4	a5	2.13	different
65.11	5	face	id4	a3	1.98	same
70.1	5	face	id2	a2	2.05	different
75.1	5	face	id2	a3	2.05	different
80.1	5	face	id4	a2	2.02	different
85.1	5	face	id2	a1	2.12	same
90.1	5	face	id1	a5	2.02	different
95.11	5	face	id3	a2	2.31	different
100.11	5	face	id4	a1	2.38	different
105.11	5	face	id3	a5	2.19	different
110.11	5	face	id3	a4	2.09	same
115.11	5	face	id2	a4	2.06	different
120.11	5	face	id3	a3	2.67	different
125.11	5	face	id3	a3	2.04	same
130.12	5	face	id3	a1	2.04	same
135.12	5	face	id4	a4	2.03	different
140.12	5	face	id2	a2	2.28	different
145.12	5	face	id1	a3	2.08	different
150.12	5	face	id1	a4	2.03	same
155.11	5	face	id4	a2	2.36	different
160.13	5	face	id3	a5	2.39	different
165.13	5	face	id4	a1	2.29	different
170.13	5	face	id4	a5	1.93	same
175.13	5	face	id3	a4	2.0	different
180.12	5	face	id1	a5	1.99	different
185.1	5	fixation	n/a	n/a	n/a	n/a
190.12	5	face	id4	a3	2.19	different
195.14	5	face	id1	a1	2.09	different
200.14	5	face	id3	a2	2.25	different
205.13	5	face	id2	a4	2.15	different
210.13	5	face	id2	a3	2.24	different
215.13	5	face	id1	a2	2.23	different
220.13	5	face	id2	a1	2.31	different
225.15	5	face	id2	a5	1.97	same
230.14	5	face	id2	a5	2.04	same
235.11	5	fixation	n/a	n/a	n/a	n/a
240.14	5	face	id4	a5	1.93	different
245.14	5	face	id1	a5	2.11	different
250.14	5	face	id4	a4	2.27	different
255.14	5	face	id1	a3	2.11	different
260.15	5	face	id3	a1	2.01	different
265.15	5	face	id3	a4	2.03	same
270.15	5	face	id1	a1	2.03	different
275.15	5	face	id3	a3	1.92	different
280.15	5	face	id4	a2	1.96	different
285.15	5	face	id4	a3	2.01	different
290.16	5	face	id2	a4	2.04	different
295.16	5	face	id3	a2	2.04	different
300.16	5	face	id1	a2	1.89	different
305.16	5	face	id4	a1	1.97	different
310.16	5	face	id1	a4	1.93	different
315.15	5	face	id3	a5	2.03	different
320.15	5	face	id2	a1	1.98	different
325.17	5	face	id2	a3	2.05	same
330.17	5	face	id2	a2	2.06	same
