onset	duration	stim_type
0.01	12.02	fixation
12.07	1.51	object
14.05	1.51	object
16.05	1.53	object
16.89	0.0	button_press
18.05	1.51	object
20.05	1.51	object
22.05	1.53	object
24.05	12.02	fixation
36.08	1.52	face
38.08	1.5	face
40.08	1.53	face
42.08	1.5	face
44.08	1.5	face
44.91	0.0	button_press
46.08	1.5	face
48.08	12.02	fixation
60.11	1.5	face
62.11	1.51	face
64.11	1.5	face
66.11	1.5	face
68.11	1.5	face
68.86	0.0	button_press
70.11	1.5	face
72.11	12.02	fixation
84.14	1.5	object
86.14	1.5	object
88.14	1.51	object
90.14	1.5	object
92.14	1.51	object
92.91	0.0	button_press
94.14	1.51	object
96.14	12.01	fixation
108.16	1.51	object
110.16	1.5	object
112.16	1.51	object
114.16	1.5	object
114.9	0.0	button_press
116.16	1.51	object
118.16	1.51	object
120.17	12.02	fixation
132.19	1.71	face
134.19	1.5	face
136.19	1.5	face
138.19	1.5	face
139.18	0.0	button_press
140.19	1.51	face
142.19	1.5	face
144.19	12.02	fixation
156.22	1.5	face
158.22	1.51	face
160.22	1.51	face
162.22	1.5	face
163.41	0.0	button_press
164.22	1.51	face
166.22	1.5	face
168.22	12.02	fixation
180.25	1.5	object
182.25	1.51	object
184.25	1.5	object
186.25	1.5	object
186.49	0.0	button_press
188.25	1.51	object
190.25	1.51	object
192.25	12.02	fixation
204.27	1.51	object
206.27	1.5	object
207.72	0.0	button_press
208.27	1.51	object
210.27	1.51	object
210.8	0.0	button_press
212.27	1.51	object
214.27	1.5	object
216.28	12.02	fixation
228.3	1.5	face
230.3	1.51	face
232.3	1.5	face
234.3	1.5	face
236.3	1.5	face
238.3	1.5	face
239.33	0.0	button_press
240.3	12.02	fixation
252.35	1.48	face
254.33	1.51	face
255.32	0.0	button_press
256.33	1.5	face
258.33	1.5	face
259.68	0.0	button_press
260.33	1.51	face
262.33	1.51	face
264.33	12.02	fixation
276.36	1.5	object
278.36	1.5	object
279.12	0.0	button_press
280.36	1.5	object
282.36	1.51	object
284.36	1.51	object
286.36	1.51	object
288.36	12.02	fixation
300.39	1.5	object
302.39	1.51	object
304.39	1.5	object
305.15	0.0	button_press
306.39	1.5	object
308.39	1.51	object
310.39	1.5	object
312.39	12.02	fixation
324.41	1.5	face
326.41	1.5	face
328.41	1.51	face
329.4	0.0	button_press
330.41	1.5	face
332.41	1.5	face
334.41	1.51	face
336.41	12.02	fixation
348.44	1.53	face
350.44	1.5	face
352.44	1.5	face
354.44	1.5	face
355.53	0.0	button_press
356.44	1.5	face
358.44	1.51	face
360.44	12.02	fixation
372.47	1.51	object
374.47	1.51	object
376.47	1.5	object
378.47	1.5	object
380.47	1.5	object
381.07	0.0	button_press
382.47	1.5	object
384.47	12.02	fixation
