onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id1	a1	n/a	n/a
20.08	5	face	id1	a1	2.11	same
25.05	5	fixation	n/a	n/a	n/a	n/a
30.09	5	face	id3	a3	2.3	different
35.09	5	face	id1	a5	2.13	different
40.09	5	face	id2	a1	2.41	different
45.09	5	face	id1	a4	2.27	different
50.09	5	face	id2	a5	2.22	different
55.09	5	face	id4	a5	2.12	different
60.09	5	face	id4	a1	2.18	same
65.09	5	face	id4	a4	2.14	same
70.1	5	face	id4	a3	2.07	same
75.1	5	face	id4	a2	2.11	same
80.1	5	face	id2	a4	2.19	different
85.1	5	face	id3	a5	2.1	different
90.1	5	face	id1	a2	2.28	different
95.1	5	face	id2	a3	2.3	different
100.1	5	face	id3	a1	2.27	different
105.1	5	face	id2	a2	2.26	different
110.1	5	face	id3	a2	2.33	different
115.1	5	face	id1	a3	2.14	different
120.11	5	face	id3	a4	1.99	different
125.1	5	face	id3	a4	2.16	same
130.08	5	fixation	n/a	n/a	n/a	n/a
135.11	5	face	id2	a3	2.21	different
140.12	5	face	id1	a5	2.12	different
145.12	5	face	id1	a3	2.2	same
150.12	5	face	id1	a2	2.13	same
155.12	5	face	id1	a1	2.16	same
160.12	5	face	id4	a3	2.23	different
165.12	5	face	id3	a3	2.21	different
170.12	5	face	id2	a4	2.14	different
175.12	5	face	id4	a1	2.23	different
180.12	5	face	id4	a2	2.23	same
185.12	5	face	id2	a2	2.08	different
190.13	5	face	id3	a5	2.1	different
195.13	5	face	id1	a4	2.12	different
200.13	5	face	id3	a2	2.09	different
205.13	5	face	id4	a4	2.08	different
210.13	5	face	id3	a1	2.2	different
215.13	5	face	id4	a5	2.1	different
220.13	5	face	id2	a5	2.06	different
225.13	5	face	id2	a1	2.12	same
230.13	5	face	id2	a1	2.37	same
235.11	5	fixation	n/a	n/a	n/a	n/a
240.15	5	face	id2	a4	2.07	same
245.15	5	face	id1	a5	2.04	different
250.15	5	face	id4	a1	2.03	different
255.15	5	face	id1	a3	2.07	different
260.15	5	face	id2	a2	2.2	different
265.15	5	face	id1	a2	2.23	different
270.15	5	face	id1	a4	2.1	same
275.15	5	face	id1	a1	2.25	same
280.15	5	face	id3	a4	2.2	different
285.15	5	face	id2	a3	2.11	different
290.16	5	face	id3	a3	2.18	different
295.16	5	face	id3	a5	2.21	same
300.16	5	face	id3	a1	2.17	same
305.16	5	face	id3	a2	2.07	same
310.16	5	face	id4	a3	1.99	different
315.16	5	face	id2	a5	2.08	different
320.16	5	face	id4	a4	2.11	different
325.16	5	face	id4	a2	2.95	same
330.16	5	face	id4	a5	2.28	same
