onset	duration	stim_type
0.01	12.02	fixation
12.05	1.51	object
14.05	1.53	object
16.05	1.51	object
18.05	1.53	object
18.05	0.0	button_press
20.05	1.53	object
22.05	1.53	object
24.05	12.02	fixation
36.08	1.54	face
38.08	1.53	face
40.08	1.54	face
42.08	1.54	face
44.08	1.53	face
45.16	0.0	button_press
46.08	1.51	face
48.08	12.02	fixation
60.11	1.54	face
62.11	1.51	face
64.11	1.53	face
66.11	1.53	face
68.11	1.54	face
68.95	0.0	button_press
70.11	1.54	face
72.11	12.02	fixation
84.13	1.5	object
86.13	1.51	object
88.13	1.51	object
90.13	1.5	object
92.13	1.51	object
93.25	0.0	button_press
94.13	1.5	object
96.14	12.02	fixation
108.16	1.51	object
110.16	1.5	object
112.16	1.5	object
114.16	1.5	object
114.86	0.0	button_press
116.16	1.5	object
118.16	1.5	object
120.16	12.02	fixation
132.19	1.71	face
134.19	1.5	face
136.19	1.51	face
138.19	1.5	face
139.1	0.0	button_press
140.19	1.5	face
142.19	1.51	face
144.19	12.02	fixation
156.22	1.51	face
158.22	1.5	face
160.22	1.51	face
162.22	1.5	face
163.42	0.0	button_press
164.22	1.5	face
166.22	1.5	face
168.22	12.02	fixation
180.24	1.5	object
182.24	1.5	object
184.24	1.51	object
184.96	0.0	button_press
186.24	1.51	object
188.24	1.5	object
190.24	1.5	object
192.25	12.02	fixation
204.27	1.5	object
206.27	1.51	object
208.27	1.5	object
210.27	1.51	object
210.96	0.0	button_press
212.27	1.5	object
214.27	1.5	object
216.27	12.02	fixation
228.3	1.53	face
230.3	1.5	face
232.3	1.5	face
234.3	1.51	face
236.3	1.5	face
238.3	1.51	face
239.59	0.0	button_press
240.3	12.02	fixation
252.33	1.53	face
254.33	1.5	face
256.33	1.51	face
258.33	1.5	face
259.63	0.0	button_press
260.33	1.5	face
262.33	1.5	face
264.33	12.02	fixation
276.35	1.5	object
278.36	1.51	object
279.16	0.0	button_press
280.35	1.5	object
282.36	1.51	object
284.36	1.51	object
286.36	1.5	object
288.36	12.02	fixation
300.38	1.5	object
302.38	1.5	object
304.38	1.51	object
305.14	0.0	button_press
306.38	1.5	object
308.38	1.5	object
310.38	1.51	object
312.38	12.02	fixation
324.41	1.53	face
326.41	1.5	face
328.41	1.5	face
329.5	0.0	button_press
330.41	1.51	face
332.41	1.5	face
334.41	1.5	face
336.41	12.02	fixation
348.44	1.51	face
350.44	1.5	face
352.44	1.5	face
354.44	1.5	face
355.48	0.0	button_press
356.44	1.5	face
358.44	1.5	face
360.44	12.02	fixation
372.47	1.5	object
374.47	1.51	object
376.47	1.51	object
378.47	1.5	object
380.47	1.5	object
381.0	0.0	button_press
382.47	1.5	object
384.47	12.02	fixation
