onset	duration	stim_type	identity	orientation	reaction_time	response
15.04	5	fixation	n/a	n/a	n/a	n/a
20.04	5	fixation	n/a	n/a	n/a	n/a
25.08	5	face	id1	a2	n/a	n/a
30.08	5	face	id1	a4	2.19	same
35.08	5	face	id3	a2	2.2	different
40.09	5	face	id2	a3	2.04	different
45.09	5	face	id4	a4	2.19	different
50.09	5	face	id2	a2	2.3	different
55.09	5	face	id3	a3	2.32	different
60.09	5	face	id4	a5	2.25	different
65.09	5	face	id3	a4	2.22	different
70.1	5	face	id4	a3	2.25	different
75.1	5	face	id3	a5	2.25	different
80.1	5	face	id1	a1	2.29	different
85.1	5	face	id2	a1	2.24	different
90.1	5	face	id1	a3	2.43	different
95.1	5	face	id3	a1	2.37	different
100.11	5	face	id4	a2	2.14	different
105.11	5	face	id2	a4	2.71	different
110.11	5	face	id1	a5	2.2	different
115.11	5	face	id2	a5	2.1	different
120.11	5	face	id4	a1	2.02	different
125.1	5	face	id4	a1	2.17	same
130.1	5	face	id4	a4	2.38	same
135.12	5	face	id2	a1	2.16	different
140.12	5	face	id3	a4	2.49	different
145.11	5	face	id4	a2	2.3	different
150.11	5	face	id2	a2	2.14	same
155.08	5	fixation	n/a	n/a	n/a	n/a
160.11	5	face	id3	a5	2.33	different
165.13	5	face	id1	a3	2.12	different
170.12	5	face	id2	a3	2.58	different
175.12	5	face	id3	a2	2.18	different
180.12	5	face	id4	a3	2.32	different
185.12	5	face	id1	a2	2.16	different
190.12	5	face	id2	a4	2.12	different
195.12	5	face	id1	a1	3.99	different
200.13	5	face	id4	a5	2.31	different
205.13	5	face	id1	a4	2.25	different
210.13	5	face	id3	a3	2.3	different
215.13	5	face	id2	a5	2.47	different
220.13	5	face	id3	a1	2.21	different
225.13	5	face	id1	a5	2.37	different
230.12	5	face	id1	a5	2.11	same
235.14	5	face	id4	a3	2.32	different
240.14	5	face	id2	a1	3.44	different
245.14	5	face	id1	a4	2.09	different
250.14	5	face	id2	a4	2.3	different
255.13	5	face	id4	a4	2.32	different
260.13	5	face	id4	a5	2.26	same
265.13	5	face	id3	a5	2.3	different
270.15	5	face	id3	a1	2.17	same
275.15	5	face	id3	a2	2.16	same
280.14	5	face	id3	a4	2.03	same
285.11	5	fixation	n/a	n/a	n/a	n/a
290.14	5	face	id4	a1	2.21	different
295.14	5	face	id2	a3	2.21	different
300.16	5	face	id1	a1	2.26	different
305.15	5	face	id4	a2	2.22	different
310.15	5	face	id1	a3	2.28	different
315.15	5	face	id3	a3	2.14	different
320.15	5	face	id2	a2	2.22	different
325.15	5	face	id2	a5	2.15	same
330.15	5	face	id1	a2	2.85	different
