onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id2	a4	n/a	n/a
20.09	5	face	id2	a4	2.18	same
25.08	5	face	id3	a1	2.18	different
30.08	5	face	id2	a1	2.29	different
35.08	5	face	id3	a5	2.17	different
40.08	5	face	id3	a4	2.08	same
45.08	5	face	id3	a3	2.2	same
50.09	5	face	id2	a2	2.24	different
55.09	5	face	id2	a5	2.12	same
60.09	5	face	id4	a1	2.08	different
65.09	5	face	id1	a5	2.22	different
70.09	5	face	id1	a1	2.07	same
75.09	5	face	id4	a2	2.12	different
80.09	5	face	id4	a5	2.17	same
85.1	5	face	id1	a4	2.49	different
90.1	5	face	id3	a2	2.31	different
95.1	5	face	id1	a3	2.18	different
100.1	5	face	id1	a2	2.13	same
105.1	5	face	id4	a3	2.25	different
110.09	5	face	id2	a3	2.32	different
115.07	5	fixation	n/a	n/a	n/a	n/a
120.11	5	face	id4	a4	2.1	different
125.11	5	face	id4	a4	2.14	same
130.11	5	face	id4	a5	2.18	same
135.1	5	face	id4	a2	2.17	same
140.1	5	face	id3	a5	2.22	different
145.12	5	face	id1	a4	2.26	different
150.12	5	face	id3	a4	2.23	different
155.12	5	face	id1	a2	2.2	different
160.11	5	face	id2	a5	2.63	different
165.11	5	face	id4	a3	2.05	different
170.11	5	face	id1	a3	2.47	different
175.13	5	face	id2	a1	2.22	different
180.12	5	face	id2	a2	2.14	same
185.12	5	face	id2	a3	2.19	same
190.12	5	face	id2	a4	2.29	same
195.12	5	face	id1	a5	2.42	different
200.12	5	face	id3	a3	2.51	different
205.13	5	face	id1	a1	2.23	different
210.13	5	face	id3	a2	4.11	different
215.13	5	face	id3	a1	2.77	same
220.1	5	fixation	n/a	n/a	n/a	n/a
225.13	5	face	id4	a1	2.35	different
230.13	5	face	id4	a1	2.64	same
235.13	5	face	id3	a4	2.26	different
240.14	5	face	id4	a4	2.23	different
245.14	5	face	id1	a1	2.16	different
250.14	5	face	id3	a5	2.2	different
255.14	5	face	id1	a5	2.38	different
260.14	5	face	id3	a1	2.22	different
265.13	5	face	id2	a4	2.39	different
270.13	5	face	id2	a2	2.16	same
275.15	5	face	id3	a3	2.14	different
280.15	5	face	id1	a4	2.48	different
285.15	5	face	id4	a3	2.57	different
290.14	5	face	id4	a5	2.18	same
295.14	5	face	id1	a2	2.2	different
300.14	5	face	id4	a2	2.83	different
305.16	5	face	id2	a5	2.28	different
310.16	5	face	id2	a1	2.08	same
315.15	5	face	id2	a3	2.18	same
320.15	5	face	id1	a3	2.32	different
325.12	5	fixation	n/a	n/a	n/a	n/a
330.15	5	face	id3	a2	2.25	different
