onset	duration	stim_type	identity	orientation	reaction_time	response
15.06	5	face	id3	a5	n/a	n/a
20.06	5	face	id3	a5	1.77	same
25.07	5	face	id4	a5	1.86	different
30.06	5	face	id3	a1	2.25	different
35.07	5	face	id3	a3	1.82	same
40.07	5	face	id1	a5	1.84	different
45.07	5	face	id4	a1	2.18	different
50.07	5	face	id1	a1	1.81	different
55.08	5	face	id1	a4	2.01	same
60.05	5	fixation	n/a	n/a	n/a	n/a
65.08	5	face	id4	a2	1.81	different
70.08	5	face	id1	a2	1.95	different
75.08	5	face	id4	a4	1.97	different
80.08	5	face	id3	a2	1.79	different
85.08	5	face	id2	a1	1.81	different
90.08	5	face	id4	a3	1.94	different
95.08	5	face	id3	a4	2.44	different
100.08	5	face	id1	a3	2.03	different
105.08	5	face	id2	a3	2.02	different
110.09	5	face	id2	a2	1.84	same
115.09	5	face	id2	a4	1.98	same
120.09	5	face	id2	a5	2.03	same
125.09	5	face	id2	a5	2.07	same
130.09	5	face	id3	a5	2.15	different
135.09	5	face	id3	a1	2.19	same
140.1	5	face	id2	a2	2.04	different
145.1	5	face	id3	a2	2.01	same
150.1	5	face	id1	a2	2.06	different
155.1	5	face	id1	a1	1.92	same
160.1	5	face	id1	a3	1.92	same
165.1	5	face	id4	a1	1.82	different
170.11	5	face	id4	a3	1.77	same
175.11	5	face	id2	a1	1.83	different
180.11	5	face	id2	a4	1.84	same
185.11	5	face	id3	a3	1.93	different
190.11	5	face	id4	a5	2.0	different
195.11	5	face	id2	a3	1.8	different
200.11	5	face	id4	a4	2.05	different
205.11	5	face	id1	a4	1.95	different
210.11	5	face	id1	a5	1.95	same
215.11	5	face	id4	a2	1.96	different
220.09	5	fixation	n/a	n/a	n/a	n/a
225.11	5	face	id3	a4	1.9	different
230.12	5	face	id3	a4	1.91	same
235.12	5	face	id3	a1	1.95	same
240.12	5	face	id3	a2	1.91	same
245.13	5	face	id2	a2	1.85	different
250.13	5	face	id1	a1	2.17	different
255.13	5	face	id3	a3	2.24	different
260.13	5	face	id1	a3	1.99	different
265.13	5	face	id4	a3	1.99	different
270.13	5	face	id1	a2	2.21	different
275.13	5	face	id4	a5	2.03	different
280.14	5	face	id2	a5	1.87	different
285.14	5	face	id4	a2	2.2	different
290.14	5	face	id1	a5	2.28	different
295.14	5	face	id1	a4	1.93	same
300.14	5	face	id2	a4	1.96	different
305.14	5	face	id4	a4	1.99	different
310.14	5	face	id3	a5	1.95	different
315.14	5	face	id2	a3	1.96	different
320.14	5	face	id4	a1	2.03	different
325.12	5	fixation	n/a	n/a	n/a	n/a
330.14	5	face	id2	a1	2.1	different
