onset	duration	stim_type	identity	orientation	reaction_time	response
15.06	5	face	id2	a2	n/a	n/a
20.06	5	face	id2	a2	1.96	same
25.06	5	face	id3	a5	1.91	different
30.06	5	face	id3	a4	1.98	same
35.08	5	face	id1	a2	1.84	different
40.08	5	face	id1	a4	1.86	same
45.08	5	face	id4	a1	1.94	different
50.08	5	face	id4	a3	1.89	same
55.08	5	face	id1	a5	1.93	different
60.08	5	face	id1	a3	1.81	same
65.08	5	face	id4	a4	1.89	different
70.08	5	face	id3	a3	2.12	different
75.08	5	face	id2	a5	1.95	different
80.08	5	face	id2	a3	1.84	same
85.08	5	face	id4	a2	1.85	different
90.09	5	face	id1	a1	2.02	different
95.09	5	face	id3	a1	1.75	different
100.09	5	face	id3	a2	1.75	same
105.09	5	face	id2	a4	1.85	different
110.09	5	face	id4	a5	2.01	different
115.07	5	fixation	n/a	n/a	n/a	n/a
120.09	5	face	id2	a1	1.8	different
125.09	5	face	id2	a1	1.85	same
130.09	5	face	id1	a2	1.89	different
135.09	5	face	id4	a2	1.83	different
140.11	5	face	id4	a1	1.84	same
145.11	5	face	id3	a5	1.88	different
150.11	5	face	id2	a5	1.96	different
155.11	5	face	id3	a4	2.02	different
160.11	5	face	id3	a2	1.93	same
165.11	5	face	id1	a3	1.88	different
170.11	5	face	id4	a5	2.17	different
175.11	5	face	id3	a3	1.95	different
180.11	5	face	id1	a1	2.03	different
185.11	5	face	id2	a3	2.17	different
190.11	5	face	id1	a5	1.97	different
195.11	5	face	id2	a2	1.99	different
200.11	5	face	id3	a1	2.05	different
205.11	5	face	id1	a4	2.06	different
210.12	5	face	id2	a4	2.04	different
215.12	5	face	id4	a3	2.17	different
220.09	5	fixation	n/a	n/a	n/a	n/a
225.12	5	face	id4	a4	1.97	same
230.12	5	face	id4	a4	1.99	same
235.12	5	face	id4	a1	1.91	same
240.12	5	face	id1	a5	2.19	different
245.12	5	face	id2	a5	2.04	different
250.12	5	face	id3	a5	2.13	different
255.12	5	face	id1	a1	2.11	different
260.12	5	face	id4	a5	2.0	different
265.14	5	face	id1	a4	1.92	same
270.14	5	face	id1	a3	1.82	same
275.14	5	face	id4	a3	1.9	different
280.14	5	face	id3	a3	1.98	different
285.14	5	face	id2	a2	1.87	different
290.14	5	face	id2	a3	1.93	same
295.14	5	face	id3	a2	1.98	different
300.14	5	face	id2	a1	1.99	different
305.14	5	face	id3	a1	2.06	different
310.14	5	face	id4	a2	2.04	different
315.14	5	face	id2	a4	2.04	different
320.14	5	face	id3	a4	1.8	different
325.12	5	fixation	n/a	n/a	n/a	n/a
330.15	5	face	id1	a2	1.91	different
