onset	duration	stim_type	identity	orientation	reaction_time	response
15.04	5	fixation	n/a	n/a	n/a	n/a
20.04	5	fixation	n/a	n/a	n/a	n/a
25.07	5	face	id1	a2	n/a	n/a
30.07	5	face	id1	a4	1.84	same
35.07	5	face	id3	a2	1.86	different
40.09	5	face	id2	a3	1.89	different
45.09	5	face	id4	a4	1.96	different
50.09	5	face	id2	a2	1.95	different
55.09	5	face	id3	a3	1.87	different
60.09	5	face	id4	a5	1.87	different
65.09	5	face	id3	a4	1.85	different
70.09	5	face	id4	a3	2.01	different
75.09	5	face	id3	a5	1.84	different
80.09	5	face	id1	a1	1.76	different
85.09	5	face	id2	a1	1.91	different
90.09	5	face	id1	a3	1.78	same
95.09	5	face	id3	a1	1.88	different
100.09	5	face	id4	a2	1.88	different
105.1	5	face	id2	a4	1.75	different
110.1	5	face	id1	a5	1.77	different
115.1	5	face	id2	a5	1.91	different
120.1	5	face	id4	a1	1.99	different
125.1	5	face	id4	a1	1.85	same
130.1	5	face	id4	a4	1.87	same
135.1	5	face	id2	a1	1.96	different
140.1	5	face	id3	a4	1.9	different
145.1	5	face	id4	a2	1.98	different
150.1	5	face	id2	a2	1.93	different
155.08	5	fixation	n/a	n/a	n/a	n/a
160.12	5	face	id3	a5	1.86	different
165.12	5	face	id1	a3	1.91	different
170.12	5	face	id2	a3	1.89	different
175.12	5	face	id3	a2	2.08	different
180.12	5	face	id4	a3	1.9	different
185.12	5	face	id1	a2	2.09	different
190.12	5	face	id2	a4	2.41	different
195.12	5	face	id1	a1	2.05	different
200.12	5	face	id4	a5	2.01	different
205.12	5	face	id1	a4	1.83	different
210.12	5	face	id3	a3	1.95	different
215.12	5	face	id2	a5	1.86	different
220.12	5	face	id3	a1	1.98	different
225.13	5	face	id1	a5	2.05	different
230.13	5	face	id1	a5	1.95	same
235.13	5	face	id4	a3	2.17	different
240.13	5	face	id2	a1	2.03	different
245.13	5	face	id1	a4	1.87	different
250.13	5	face	id2	a4	2.53	different
255.13	5	face	id4	a4	1.98	different
260.13	5	face	id4	a5	1.94	same
265.13	5	face	id3	a5	1.94	different
270.13	5	face	id3	a1	2.09	same
275.13	5	face	id3	a2	2.08	same
280.13	5	face	id3	a4	2.01	same
285.11	5	fixation	n/a	n/a	n/a	n/a
290.15	5	face	id4	a1	2.13	different
295.15	5	face	id2	a3	1.99	different
300.15	5	face	id1	a1	1.99	different
305.15	5	face	id4	a2	2.03	different
310.15	5	face	id1	a3	1.96	different
315.15	5	face	id3	a3	2.17	different
320.15	5	face	id2	a2	2.01	different
325.15	5	face	id2	a5	1.95	same
330.16	5	face	id1	a2	1.82	different
