onset	duration	stim_type
0.01	12.02	fixation
12.06	1.51	object
14.05	1.51	object
16.06	1.51	object
16.73	0.0	button_press
18.06	1.51	object
20.05	1.51	object
22.06	1.51	object
24.05	12.02	fixation
36.08	1.51	face
38.07	1.51	face
40.08	1.51	face
42.09	1.51	face
44.08	1.51	face
45.27	0.0	button_press
46.08	1.51	face
48.07	12.02	fixation
60.11	1.51	face
62.1	1.51	face
64.1	1.51	face
66.11	1.51	face
68.1	1.51	face
69.29	0.0	button_press
70.11	1.51	face
72.1	12.02	fixation
84.13	1.51	object
86.12	1.51	object
88.13	1.51	object
90.13	1.51	object
92.12	1.51	object
94.13	1.51	object
96.12	12.02	fixation
108.16	1.51	object
110.14	1.51	object
112.15	1.51	object
114.16	1.51	object
114.75	0.0	button_press
116.15	1.51	object
118.15	1.51	object
120.14	12.02	fixation
132.18	1.71	face
134.17	1.51	face
136.17	1.51	face
138.18	1.51	face
139.44	0.0	button_press
140.17	1.51	face
142.18	1.51	face
144.17	12.02	fixation
156.2	1.51	face
158.19	1.51	face
160.2	1.51	face
162.2	1.51	face
163.46	0.0	button_press
164.19	1.51	face
166.2	1.51	face
168.19	12.02	fixation
180.23	1.51	object
182.21	1.51	object
184.22	1.51	object
185.19	0.0	button_press
186.23	1.49	object
188.22	1.51	object
190.22	1.51	object
192.21	12.02	fixation
204.25	1.51	object
206.24	1.51	object
208.24	1.51	object
210.25	1.51	object
210.89	0.0	button_press
212.24	1.51	object
214.25	1.51	object
216.24	12.02	fixation
228.27	1.51	face
230.26	1.51	face
232.27	1.51	face
234.27	1.51	face
236.26	1.51	face
238.27	1.51	face
239.33	0.0	button_press
240.26	12.02	fixation
252.3	1.51	face
254.29	1.51	face
256.29	1.51	face
258.3	1.51	face
259.69	0.0	button_press
260.29	1.51	face
262.29	1.51	face
264.28	12.02	fixation
276.32	1.51	object
278.31	1.51	object
279.01	0.0	button_press
280.32	1.51	object
282.32	1.51	object
284.31	1.51	object
286.32	1.51	object
288.31	12.02	fixation
300.34	1.51	object
302.33	1.51	object
304.34	1.51	object
304.9	0.0	button_press
306.34	1.51	object
308.33	1.51	object
310.34	1.51	object
312.33	12.02	fixation
324.37	1.51	face
326.36	1.51	face
328.36	1.51	face
329.4	0.0	button_press
330.37	1.51	face
332.36	1.51	face
334.36	1.51	face
336.36	12.02	fixation
348.39	1.51	face
350.38	1.51	face
352.39	1.51	face
354.39	1.51	face
355.48	0.0	button_press
356.38	1.51	face
358.39	1.51	face
360.38	12.02	fixation
372.41	1.51	object
374.4	1.51	object
376.41	1.51	object
378.4	1.51	object
380.4	1.51	object
382.41	1.51	object
384.4	12.02	fixation
