onset	duration	stim_type
0.01	12.02	fixation
12.07	1.51	object
14.05	1.53	object
16.05	1.53	object
18.05	1.51	object
18.05	0.0	button_press
20.05	1.51	object
22.05	1.51	object
24.05	12.03	fixation
36.09	1.51	face
38.09	1.51	face
40.09	1.51	face
42.09	1.51	face
44.09	1.51	face
44.84	0.0	button_press
46.09	1.51	face
48.09	12.02	fixation
60.12	1.51	face
62.12	1.51	face
64.12	1.51	face
66.12	1.53	face
68.12	1.51	face
70.13	1.51	face
70.13	0.0	button_press
72.13	12.02	fixation
70.49	0.0	button_press
84.16	1.5	object
86.16	1.5	object
88.16	1.5	object
90.16	1.5	object
92.16	1.5	object
94.16	1.5	object
94.45	0.0	button_press
96.16	12.02	fixation
108.19	1.5	object
110.19	1.5	object
112.19	1.51	object
114.19	1.51	object
116.19	1.51	object
116.19	0.0	button_press
118.19	1.5	object
120.19	12.02	fixation
132.22	1.71	face
134.22	1.51	face
136.22	1.51	face
138.22	1.5	face
139.54	0.0	button_press
140.22	1.5	face
142.22	1.5	face
144.22	12.02	fixation
156.24	1.51	face
158.24	1.5	face
160.24	1.51	face
162.24	1.5	face
163.1	0.0	button_press
164.24	1.5	face
166.24	1.5	face
168.25	12.02	fixation
180.27	1.5	object
182.27	1.5	object
184.27	1.5	object
185.23	0.0	button_press
186.27	1.51	object
188.27	1.51	object
190.27	1.51	object
192.27	12.02	fixation
204.3	1.5	object
206.3	1.51	object
208.3	1.5	object
210.3	1.51	object
211.15	0.0	button_press
212.3	1.51	object
214.3	1.5	object
216.3	12.02	fixation
228.33	1.53	face
230.33	1.5	face
232.33	1.51	face
234.33	1.5	face
236.33	1.5	face
238.33	1.5	face
239.36	0.0	button_press
240.33	12.02	fixation
252.35	1.51	face
254.35	1.5	face
256.35	1.5	face
258.35	1.5	face
260.35	1.5	face
260.37	0.0	button_press
262.35	1.5	face
264.36	12.02	fixation
276.38	1.5	object
278.38	1.51	object
279.83	0.0	button_press
280.38	1.5	object
282.38	1.51	object
284.38	1.5	object
286.38	1.5	object
288.38	12.02	fixation
300.41	1.5	object
302.41	1.51	object
304.41	1.51	object
305.51	0.0	button_press
306.41	1.5	object
308.41	1.5	object
310.41	1.51	object
312.41	12.02	fixation
324.44	1.51	face
326.44	1.5	face
328.44	1.5	face
329.91	0.0	button_press
330.44	1.5	face
332.44	1.5	face
334.44	1.5	face
336.44	12.02	fixation
348.46	1.53	face
350.46	1.5	face
352.46	1.5	face
354.46	1.5	face
356.47	1.51	face
356.47	0.0	button_press
358.47	1.5	face
360.47	12.02	fixation
372.49	1.5	object
374.49	1.5	object
376.49	1.51	object
378.49	1.5	object
380.49	1.5	object
382.49	1.51	object
382.49	0.0	button_press
384.49	12.02	fixation
