onset	duration	stim_type
1.27	12.01	fixation
13.76	1.51	object
15.77	1.49	object
17.76	1.51	object
18.69	0.0	button_press
19.76	1.51	object
21.77	1.51	object
23.76	1.51	object
26.25	12.02	fixation
38.76	1.51	face
40.76	1.51	face
42.77	1.51	face
44.76	1.51	face
46.76	1.51	face
47.72	0.0	button_press
48.77	1.51	face
51.25	12.01	fixation
63.77	1.51	face
65.76	1.52	face
67.76	1.51	face
69.77	1.51	face
71.76	1.51	face
72.71	0.0	button_press
73.76	1.53	face
76.25	12.02	fixation
88.76	1.51	object
90.76	1.51	object
92.77	1.49	object
94.76	1.51	object
96.77	1.51	object
97.52	0.0	button_press
98.76	1.51	object
101.25	12.01	fixation
113.77	1.51	object
115.76	1.53	object
117.76	1.51	object
119.77	1.51	object
120.54	0.0	button_press
121.76	1.51	object
123.77	1.51	object
126.25	12.0	fixation
138.76	1.73	face
140.77	1.51	face
142.76	1.51	face
144.76	1.51	face
145.57	0.0	button_press
146.77	1.51	face
148.76	1.51	face
151.25	12.01	fixation
163.77	1.51	face
165.76	1.51	face
167.77	1.51	face
169.77	1.51	face
170.51	0.0	button_press
171.76	1.51	face
173.77	1.51	face
176.25	12.0	fixation
188.76	1.51	object
190.77	1.51	object
192.76	1.51	object
193.92	0.0	button_press
194.77	1.51	object
196.77	1.51	object
198.76	1.52	object
201.26	12.01	fixation
213.76	1.51	object
215.76	1.51	object
217.77	1.51	object
219.76	1.51	object
220.43	0.0	button_press
221.77	1.51	object
223.77	1.51	object
226.26	12.01	fixation
238.77	1.51	face
240.77	1.51	face
242.76	1.51	face
244.77	1.51	face
246.76	1.52	face
248.76	1.51	face
249.72	0.0	button_press
251.26	12.02	fixation
263.76	1.51	face
265.77	1.51	face
267.77	1.51	face
269.76	1.51	face
271.1	0.0	button_press
271.77	1.51	face
273.77	1.51	face
276.26	12.01	fixation
288.77	1.51	object
290.76	1.51	object
291.38	0.0	button_press
292.77	1.51	object
294.77	1.51	object
296.76	1.51	object
298.77	1.51	object
301.26	12.02	fixation
313.76	1.51	object
315.77	1.51	object
317.76	1.51	object
318.27	0.0	button_press
319.76	1.51	object
321.77	1.51	object
323.76	1.51	object
326.26	12.01	fixation
338.77	1.51	face
340.76	1.51	face
342.77	1.51	face
343.56	0.0	button_press
344.77	1.51	face
346.76	1.51	face
348.77	1.51	face
351.26	12.0	fixation
363.77	1.51	face
365.77	1.51	face
367.76	1.51	face
369.77	1.51	face
370.81	0.0	button_press
371.77	1.51	face
373.76	1.51	face
376.26	12.01	fixation
388.78	1.51	object
390.77	1.51	object
392.77	1.51	object
394.78	1.49	object
396.77	1.51	object
397.77	0.0	button_press
398.77	1.51	object
401.26	12.01	fixation
