onset	duration	stim_type	identity	orientation	reaction_time	response
15.03	5	fixation	n/a	n/a	n/a	n/a
20.03	5	fixation	n/a	n/a	n/a	n/a
25.07	5	face	id2	a5	n/a	n/a
30.07	5	face	id2	a1	2.03	same
35.07	5	face	id4	a5	1.99	different
40.07	5	face	id3	a3	1.98	different
45.07	5	face	id1	a3	2.02	different
50.07	5	face	id2	a4	2.1	different
55.07	5	face	id4	a2	2.06	different
60.07	5	face	id3	a4	1.83	different
65.07	5	face	id1	a4	2.07	different
70.08	5	face	id4	a1	2.13	different
75.08	5	face	id2	a3	2.02	different
80.08	5	face	id4	a3	2.06	different
85.08	5	face	id1	a5	2.15	different
90.08	5	face	id3	a2	2.05	different
95.08	5	face	id3	a1	2.01	same
100.08	5	face	id2	a2	1.78	different
105.08	5	face	id3	a5	1.91	different
110.08	5	face	id4	a4	1.98	different
115.08	5	face	id1	a2	2.06	different
120.08	5	face	id1	a1	2.03	same
125.08	5	face	id1	a1	2.03	same
130.08	5	face	id1	a3	2.0	same
135.1	5	face	id4	a5	1.79	different
140.1	5	face	id4	a1	1.94	same
145.1	5	face	id4	a2	2.03	same
150.1	5	face	id2	a4	2.09	different
155.1	5	face	id4	a3	1.98	different
160.1	5	face	id3	a5	2.14	different
165.1	5	face	id2	a2	2.14	different
170.1	5	face	id3	a4	1.98	different
175.1	5	face	id4	a4	1.79	different
180.1	5	face	id3	a2	1.81	different
185.07	5	fixation	n/a	n/a	n/a	n/a
190.1	5	face	id1	a4	1.82	different
195.11	5	face	id2	a1	1.75	different
200.11	5	face	id3	a1	1.76	different
205.11	5	face	id1	a2	2.0	same
210.11	5	face	id2	a3	2.2	different
215.11	5	face	id3	a3	1.94	different
220.11	5	face	id1	a5	1.98	different
225.12	5	face	id2	a5	1.84	same
230.12	5	face	id2	a5	1.96	same
235.09	5	fixation	n/a	n/a	n/a	n/a
240.12	5	face	id3	a4	2.22	different
245.13	5	face	id3	a2	2.2	same
250.13	5	face	id4	a5	2.05	different
255.13	5	face	id4	a2	1.97	same
260.13	5	face	id1	a3	2.18	different
265.13	5	face	id4	a4	2.12	different
270.13	5	face	id2	a1	2.09	different
275.13	5	face	id1	a1	1.86	different
280.13	5	face	id4	a3	2.23	different
285.13	5	face	id1	a4	2.04	different
290.13	5	face	id1	a2	2.06	same
295.13	5	face	id3	a1	2.11	different
300.13	5	face	id3	a3	2.02	different
305.13	5	face	id2	a2	2.25	different
310.13	5	face	id2	a4	1.84	same
315.15	5	face	id3	a5	2.22	different
320.15	5	face	id1	a5	1.98	different
325.15	5	face	id2	a3	1.95	different
330.15	5	face	id4	a1	2.12	different
