onset	duration	stim_type	identity	orientation	reaction_time	response
15.08	5	face	id2	a2	n/a	n/a
20.08	5	face	id2	a2	2.15	same
25.08	5	face	id2	a3	2.13	same
30.08	5	face	id2	a1	2.22	same
35.08	5	face	id3	a5	2.14	different
40.07	5	face	id1	a4	2.11	different
45.09	5	face	id4	a1	2.12	different
50.09	5	face	id1	a2	1.98	different
55.09	5	face	id3	a2	2.14	different
60.09	5	face	id2	a4	2.13	different
65.08	5	face	id4	a3	2.29	different
70.08	5	face	id4	a2	2.14	same
75.08	5	face	id3	a3	2.11	different
80.1	5	face	id1	a1	2.12	different
85.1	5	face	id3	a4	2.03	different
90.09	5	face	id3	a1	2.06	same
95.09	5	face	id1	a3	2.17	different
100.09	5	face	id4	a4	2.09	different
105.09	5	face	id1	a5	2.07	different
110.11	5	face	id4	a5	2.08	same
115.07	5	fixation	n/a	n/a	n/a	n/a
120.1	5	face	id2	a5	2.1	different
125.1	5	face	id2	a5	2.2	same
130.1	5	face	id2	a1	2.21	same
135.1	5	face	id1	a2	2.09	different
140.11	5	face	id2	a3	2.38	different
145.11	5	face	id2	a4	2.17	same
150.11	5	face	id3	a2	2.17	different
155.11	5	face	id1	a1	2.15	different
160.11	5	face	id4	a3	2.13	different
165.08	5	fixation	n/a	n/a	n/a	n/a
170.12	5	face	id1	a5	2.08	different
175.12	5	face	id3	a4	2.08	different
180.12	5	face	id4	a5	2.1	different
185.12	5	face	id4	a1	1.99	same
190.12	5	face	id3	a5	2.15	different
195.13	5	face	id4	a2	2.12	different
200.13	5	face	id1	a4	2.12	different
205.13	5	face	id1	a3	2.07	same
210.13	5	face	id2	a2	2.18	different
215.13	5	face	id4	a4	2.17	different
220.13	5	face	id3	a1	2.14	different
225.12	5	face	id3	a3	2.18	different
230.14	5	face	id3	a3	2.13	same
235.14	5	face	id2	a4	2.18	different
240.14	5	face	id3	a4	2.1	different
245.14	5	face	id3	a5	2.06	same
250.13	5	face	id4	a1	2.12	different
255.13	5	face	id3	a2	2.09	different
260.15	5	face	id1	a5	2.14	different
265.15	5	face	id2	a1	2.13	different
270.15	5	face	id4	a2	2.07	different
275.14	5	face	id2	a3	2.13	different
280.14	5	face	id2	a2	2.13	same
285.14	5	face	id4	a3	2.19	different
290.16	5	face	id4	a5	2.13	same
295.16	5	face	id1	a3	2.15	different
300.15	5	face	id1	a4	2.09	same
305.15	5	face	id3	a1	2.16	different
310.15	5	face	id1	a2	2.4	different
315.15	5	face	id4	a4	2.23	different
320.15	5	face	id1	a1	2.1	same
325.16	5	face	id2	a5	2.16	different
330.13	5	fixation	n/a	n/a	n/a	n/a
