onset	duration	stim_type	identity	orientation	reaction_time	response
15.09	5	face	id2	a1	n/a	n/a
20.09	5	face	id2	a1	2.41	same
25.09	5	face	id4	a5	2.46	different
30.09	5	face	id4	a1	2.13	same
35.09	5	face	id1	a2	2.63	different
40.09	5	face	id3	a4	2.28	different
45.09	5	face	id4	a2	2.66	different
50.09	5	face	id3	a1	2.86	different
55.09	5	face	id2	a5	2.45	different
60.09	5	face	id1	a5	2.65	different
65.1	5	face	id4	a3	2.6	different
70.1	5	face	id1	a1	2.4	different
75.1	5	face	id2	a4	2.67	different
80.1	5	face	id1	a3	3.29	different
85.1	5	face	id3	a5	2.65	different
90.1	5	face	id2	a2	2.46	different
95.1	5	face	id4	a4	2.52	different
100.1	5	face	id3	a3	2.74	different
105.1	5	face	id2	a3	2.47	different
110.1	5	face	id3	a2	2.3	different
115.08	5	fixation	n/a	n/a	n/a	n/a
120.1	5	face	id1	a4	2.14	different
125.1	5	face	id1	a4	2.18	same
130.1	5	face	id1	a2	2.43	same
135.1	5	face	id2	a1	2.24	different
140.12	5	face	id3	a1	2.78	different
145.12	5	face	id4	a1	2.32	different
150.12	5	face	id4	a2	2.28	same
155.12	5	face	id1	a3	2.77	different
160.12	5	face	id2	a5	2.21	different
165.12	5	face	id2	a2	2.52	same
170.12	5	face	id4	a5	2.25	different
175.12	5	face	id3	a3	2.85	different
180.12	5	face	id3	a2	2.51	same
185.12	5	face	id1	a5	2.5	different
190.12	5	face	id3	a4	3.14	different
195.13	5	face	id2	a4	2.64	different
200.13	5	face	id3	a5	2.29	different
205.13	5	face	id4	a4	2.18	different
210.13	5	face	id2	a3	2.75	different
215.13	5	face	id4	a3	2.32	different
220.1	5	fixation	n/a	n/a	n/a	n/a
225.13	5	face	id1	a1	2.09	different
230.13	5	face	id1	a1	2.29	same
235.13	5	face	id4	a4	2.08	different
240.13	5	face	id4	a2	2.24	same
245.13	5	face	id2	a2	2.3	different
250.13	5	face	id3	a1	2.4	different
255.15	5	face	id4	a3	2.37	different
260.15	5	face	id3	a5	2.13	different
265.15	5	face	id2	a5	2.18	different
270.15	5	face	id3	a2	2.07	different
275.15	5	face	id4	a5	2.03	different
280.15	5	face	id3	a4	2.68	different
285.15	5	face	id4	a1	2.6	different
290.15	5	face	id3	a3	2.58	different
295.15	5	face	id2	a1	2.29	different
300.15	5	face	id1	a2	2.15	different
305.15	5	face	id1	a3	2.18	same
310.15	5	face	id1	a4	2.12	same
315.15	5	face	id2	a3	2.29	different
320.16	5	face	id1	a5	2.61	different
325.13	5	fixation	n/a	n/a	n/a	n/a
330.16	5	face	id2	a4	2.22	same
