onset	duration	stim_type	identity	orientation	reaction_time	response
15.08	5	face	id2	a2	n/a	n/a
20.07	5	face	id2	a2	1.97	same
25.07	5	face	id3	a5	2.52	different
30.09	5	face	id3	a4	1.96	same
35.09	5	face	id1	a2	2.27	different
40.09	5	face	id1	a4	2.06	same
45.08	5	face	id4	a1	2.19	different
50.08	5	face	id4	a3	2.09	same
55.08	5	face	id1	a5	2.41	different
60.1	5	face	id1	a3	2.08	same
65.1	5	face	id4	a4	2.49	different
70.09	5	face	id3	a3	1.91	different
75.09	5	face	id2	a5	2.77	different
80.09	5	face	id2	a3	2.18	same
85.09	5	face	id4	a2	2.15	different
90.09	5	face	id1	a1	2.07	different
95.1	5	face	id3	a1	2.51	different
100.1	5	face	id3	a2	2.07	same
105.1	5	face	id2	a4	1.97	different
110.1	5	face	id4	a5	2.59	different
115.07	5	fixation	n/a	n/a	n/a	n/a
120.1	5	face	id2	a1	2.17	different
125.11	5	face	id2	a1	2.08	same
130.11	5	face	id1	a2	2.16	different
135.11	5	face	id4	a2	2.37	different
140.11	5	face	id4	a1	2.02	same
145.11	5	face	id3	a5	2.25	different
150.11	5	face	id2	a5	2.2	different
155.12	5	face	id3	a4	1.99	different
160.12	5	face	id3	a2	2.15	same
165.12	5	face	id1	a3	2.2	different
170.12	5	face	id4	a5	2.33	different
175.12	5	face	id3	a3	2.34	different
180.11	5	face	id1	a1	2.04	different
185.13	5	face	id2	a3	2.86	different
190.13	5	face	id1	a5	2.89	different
195.13	5	face	id2	a2	2.61	different
200.13	5	face	id3	a1	3.05	different
205.12	5	face	id1	a4	2.07	different
210.12	5	face	id2	a4	2.03	different
215.12	5	face	id4	a3	3.43	different
220.1	5	fixation	n/a	n/a	n/a	n/a
225.14	5	face	id4	a4	2.01	same
230.13	5	face	id4	a4	n/a	n/a
235.13	5	face	id4	a1	2.05	same
240.13	5	face	id1	a5	2.23	different
245.15	5	face	id2	a5	2.2	different
250.15	5	face	id3	a5	2.25	different
255.14	5	face	id1	a1	2.12	different
260.14	5	face	id4	a5	4.6	different
265.14	5	face	id1	a4	2.84	different
270.14	5	face	id1	a3	2.04	same
275.16	5	face	id4	a3	2.06	different
280.15	5	face	id3	a3	1.81	different
285.15	5	face	id2	a2	2.22	different
290.15	5	face	id2	a3	2.06	same
295.15	5	face	id3	a2	2.39	different
300.15	5	face	id2	a1	2.17	different
305.15	5	face	id3	a1	2.53	different
310.16	5	face	id4	a2	2.02	different
315.16	5	face	id2	a4	2.7	different
320.16	5	face	id3	a4	2.03	different
325.13	5	fixation	n/a	n/a	n/a	n/a
330.16	5	face	id1	a2	1.8	different
