onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id2	a2	n/a	n/a
20.07	5	face	id2	a2	2.05	same
25.07	5	face	id3	a5	3.06	different
30.07	5	face	id3	a4	2.19	same
35.07	5	face	id1	a2	2.38	different
40.07	5	face	id1	a4	2.08	same
45.08	5	face	id4	a1	2.44	different
50.08	5	face	id4	a3	2.15	same
55.08	5	face	id1	a5	2.16	different
60.08	5	face	id1	a3	2.21	same
65.08	5	face	id4	a4	2.22	different
70.08	5	face	id3	a3	2.25	different
75.09	5	face	id2	a5	2.31	different
80.09	5	face	id2	a3	2.02	different
85.09	5	face	id4	a2	2.27	different
90.09	5	face	id1	a1	2.29	different
95.09	5	face	id3	a1	2.35	different
100.08	5	face	id3	a2	2.04	same
105.08	5	face	id2	a4	2.03	different
110.1	5	face	id4	a5	2.33	different
115.06	5	fixation	n/a	n/a	n/a	n/a
120.09	5	face	id2	a1	2.19	different
125.09	5	face	id2	a1	2.22	same
130.11	5	face	id1	a2	2.1	different
135.11	5	face	id4	a2	2.0	different
140.11	5	face	id4	a1	2.19	same
145.1	5	face	id3	a5	2.17	different
150.1	5	face	id2	a5	2.25	different
155.1	5	face	id3	a4	2.16	different
160.1	5	face	id3	a2	2.16	same
165.12	5	face	id1	a3	2.14	different
170.11	5	face	id4	a5	2.09	different
175.11	5	face	id3	a3	2.14	different
180.11	5	face	id1	a1	2.29	different
185.11	5	face	id2	a3	2.28	different
190.11	5	face	id1	a5	2.19	different
195.12	5	face	id2	a2	1.99	different
200.12	5	face	id3	a1	2.23	different
205.12	5	face	id1	a4	2.23	different
210.12	5	face	id2	a4	2.12	different
215.12	5	face	id4	a3	2.23	different
220.09	5	fixation	n/a	n/a	n/a	n/a
225.12	5	face	id4	a4	2.1	same
230.13	5	face	id4	a4	2.19	same
235.13	5	face	id4	a1	2.2	same
240.13	5	face	id1	a5	2.05	different
245.13	5	face	id2	a5	2.11	different
250.13	5	face	id3	a5	2.13	different
255.12	5	face	id1	a1	2.26	different
260.14	5	face	id4	a5	2.09	different
265.14	5	face	id1	a4	2.12	different
270.14	5	face	id1	a3	3.43	same
275.14	5	face	id4	a3	2.15	different
280.13	5	face	id3	a3	2.11	different
285.13	5	face	id2	a2	2.12	different
290.15	5	face	id2	a3	2.21	same
295.15	5	face	id3	a2	2.05	different
300.14	5	face	id2	a1	2.71	same
305.14	5	face	id3	a1	2.08	different
310.14	5	face	id4	a2	2.24	different
315.14	5	face	id2	a4	2.11	different
320.14	5	face	id3	a4	2.07	different
325.12	5	fixation	n/a	n/a	n/a	n/a
330.15	5	face	id1	a2	2.09	different
