onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id4	a3	n/a	n/a
20.07	5	face	id4	a3	1.78	same
25.07	5	face	id4	a5	1.89	same
30.07	5	face	id1	a2	1.89	different
35.07	5	face	id3	a4	1.87	different
40.09	5	face	id1	a3	1.93	different
45.09	5	face	id1	a1	1.87	same
50.09	5	face	id1	a4	1.76	same
55.09	5	face	id3	a5	1.86	different
60.06	5	fixation	n/a	n/a	n/a	n/a
65.09	5	face	id2	a5	1.92	different
70.1	5	face	id4	a2	1.83	different
75.09	5	face	id2	a3	1.74	different
80.09	5	face	id2	a2	1.94	same
85.1	5	face	id1	a5	1.9	different
90.1	5	face	id2	a1	1.91	different
95.1	5	face	id3	a2	1.97	different
100.1	5	face	id4	a4	1.88	different
105.1	5	face	id2	a4	1.99	different
110.1	5	face	id4	a1	2.12	different
115.1	5	face	id3	a3	1.92	different
120.1	5	face	id3	a1	2.01	same
125.1	5	face	id3	a1	2.09	same
130.1	5	face	id4	a3	1.79	different
135.1	5	face	id1	a2	1.89	different
140.12	5	face	id4	a1	1.91	different
145.12	5	face	id2	a2	1.83	different
150.12	5	face	id4	a2	1.74	different
155.12	5	face	id1	a4	1.86	different
160.12	5	face	id4	a4	1.87	different
165.12	5	face	id1	a1	1.83	different
170.12	5	face	id2	a1	1.92	different
175.12	5	face	id1	a5	1.92	same
180.12	5	face	id3	a3	1.99	different
185.12	5	face	id3	a4	1.79	same
190.12	5	face	id4	a5	1.83	different
195.12	5	face	id2	a4	1.85	different
200.13	5	face	id2	a3	1.8	same
205.13	5	face	id3	a5	1.89	different
210.13	5	face	id1	a3	1.75	different
215.13	5	face	id2	a5	1.85	different
220.1	5	fixation	n/a	n/a	n/a	n/a
225.13	5	face	id3	a2	2.55	different
230.13	5	face	id3	a2	1.8	same
235.13	5	face	id1	a2	2.18	different
240.13	5	face	id2	a2	1.82	different
245.13	5	face	id4	a1	1.82	different
250.13	5	face	id1	a4	1.75	different
255.13	5	face	id3	a4	1.92	different
260.15	5	face	id4	a4	1.97	different
265.15	5	face	id2	a1	2.25	different
270.15	5	face	id4	a2	1.89	different
275.15	5	face	id4	a5	1.89	same
280.15	5	face	id3	a1	1.82	different
285.15	5	face	id2	a5	1.86	different
290.15	5	face	id1	a3	1.82	different
295.15	5	face	id3	a5	1.86	different
300.15	5	face	id3	a3	1.74	same
305.15	5	face	id2	a3	1.98	different
310.15	5	face	id4	a3	1.99	different
315.15	5	face	id2	a4	1.93	different
320.15	5	face	id1	a1	1.91	different
325.13	5	fixation	n/a	n/a	n/a	n/a
330.16	5	face	id1	a5	1.84	same
