onset	duration	stim_type	identity	orientation	reaction_time	response
15.03	5	fixation	n/a	n/a	n/a	n/a
20.04	5	fixation	n/a	n/a	n/a	n/a
25.07	5	face	id3	a3	n/a	n/a
30.07	5	face	id2	a4	1.83	different
35.07	5	face	id3	a1	1.88	different
40.07	5	face	id2	a3	1.75	different
45.07	5	face	id4	a5	1.8	different
50.08	5	face	id4	a1	1.9	same
55.09	5	face	id1	a1	1.9	different
60.09	5	face	id3	a4	1.87	different
65.09	5	face	id4	a4	1.86	different
70.09	5	face	id1	a4	1.94	different
75.09	5	face	id3	a5	1.83	different
80.09	5	face	id2	a1	1.82	different
85.09	5	face	id1	a5	1.84	different
90.09	5	face	id4	a2	1.84	different
95.09	5	face	id1	a3	1.74	different
100.09	5	face	id4	a3	1.89	different
105.09	5	face	id1	a2	1.86	different
110.1	5	face	id3	a2	1.81	different
115.1	5	face	id2	a5	1.91	different
120.1	5	face	id2	a2	1.79	same
125.1	5	face	id2	a2	1.91	same
130.1	5	face	id4	a5	1.82	different
135.1	5	face	id1	a5	1.84	different
140.1	5	face	id4	a4	1.75	different
145.1	5	face	id4	a3	1.78	same
150.1	5	face	id4	a1	2.02	same
155.08	5	fixation	n/a	n/a	n/a	n/a
160.1	5	face	id3	a5	1.84	different
165.12	5	face	id4	a2	2.44	different
170.12	5	face	id2	a3	1.81	different
175.12	5	face	id3	a1	1.86	different
180.12	5	face	id1	a4	1.83	different
185.12	5	face	id3	a3	1.74	different
190.12	5	face	id1	a2	1.83	different
195.12	5	face	id2	a1	1.78	different
200.12	5	face	id3	a4	1.91	different
205.12	5	face	id2	a4	1.81	different
210.12	5	face	id1	a1	1.86	different
215.12	5	face	id2	a5	1.92	different
220.12	5	face	id1	a3	1.74	same
225.13	5	face	id3	a2	2.01	different
230.13	5	face	id3	a2	1.9	same
235.13	5	face	id1	a4	1.81	different
240.13	5	face	id1	a5	1.77	same
245.13	5	face	id2	a4	1.93	different
250.13	5	face	id1	a2	1.86	different
255.13	5	face	id4	a5	1.89	different
260.13	5	face	id3	a4	1.8	different
265.13	5	face	id3	a5	1.83	same
270.13	5	face	id1	a3	1.86	different
275.13	5	face	id3	a1	1.78	different
280.15	5	face	id4	a4	1.96	different
285.11	5	fixation	n/a	n/a	n/a	n/a
290.15	5	face	id2	a2	1.97	different
295.15	5	face	id2	a3	1.85	same
300.15	5	face	id2	a1	1.98	same
305.15	5	face	id4	a3	2.07	different
310.15	5	face	id4	a2	2.14	same
315.15	5	face	id1	a1	2.0	different
320.15	5	face	id4	a1	2.24	different
325.16	5	face	id2	a5	1.98	different
330.16	5	face	id3	a3	2.08	different
