onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id3	a5	n/a	n/a
20.07	5	face	id3	a5	2.11	same
25.07	5	face	id4	a5	2.36	different
30.07	5	face	id3	a1	2.14	different
35.07	5	face	id3	a3	1.99	same
40.07	5	face	id1	a5	2.21	different
45.09	5	face	id4	a1	1.98	different
50.09	5	face	id1	a1	2.11	different
55.09	5	face	id1	a4	2.14	same
60.06	5	fixation	n/a	n/a	n/a	n/a
65.09	5	face	id4	a2	2.2	different
70.09	5	face	id1	a2	2.24	different
75.09	5	face	id4	a4	2.17	different
80.09	5	face	id3	a2	2.15	different
85.09	5	face	id2	a1	2.1	different
90.1	5	face	id4	a3	1.91	different
95.1	5	face	id3	a4	2.18	different
100.1	5	face	id1	a3	2.31	different
105.1	5	face	id2	a3	2.35	different
110.1	5	face	id2	a2	2.16	same
115.1	5	face	id2	a4	2.21	same
120.1	5	face	id2	a5	2.32	same
125.1	5	face	id2	a5	2.22	same
130.1	5	face	id3	a5	2.1	different
135.1	5	face	id3	a1	2.07	same
140.1	5	face	id2	a2	2.08	different
145.1	5	face	id3	a2	2.22	different
150.1	5	face	id1	a2	2.05	different
155.1	5	face	id1	a1	2.07	same
160.12	5	face	id1	a3	2.13	same
165.12	5	face	id4	a1	2.18	different
170.12	5	face	id4	a3	2.2	same
175.12	5	face	id2	a1	2.25	different
180.12	5	face	id2	a4	2.09	same
185.12	5	face	id3	a3	2.28	different
190.12	5	face	id4	a5	2.36	different
195.12	5	face	id2	a3	2.24	different
200.12	5	face	id4	a4	2.34	different
205.12	5	face	id1	a4	2.29	different
210.12	5	face	id1	a5	2.28	same
215.12	5	face	id4	a2	2.17	different
220.1	5	fixation	n/a	n/a	n/a	n/a
225.12	5	face	id3	a4	2.06	different
230.13	5	face	id3	a4	2.09	same
235.13	5	face	id3	a1	2.12	same
240.14	5	face	id3	a2	2.17	same
245.14	5	face	id2	a2	2.19	different
250.14	5	face	id1	a1	2.16	different
255.14	5	face	id3	a3	2.17	different
260.14	5	face	id1	a3	2.12	different
265.14	5	face	id4	a3	2.1	different
270.14	5	face	id1	a2	2.26	different
275.14	5	face	id4	a5	2.11	different
280.14	5	face	id2	a5	2.2	different
285.15	5	face	id4	a2	2.06	different
290.15	5	face	id1	a5	2.23	different
295.15	5	face	id1	a4	2.15	same
300.15	5	face	id2	a4	2.2	different
305.15	5	face	id4	a4	2.21	different
310.15	5	face	id3	a5	2.44	different
315.15	5	face	id2	a3	2.19	different
320.15	5	face	id4	a1	2.19	different
325.13	5	fixation	n/a	n/a	n/a	n/a
330.15	5	face	id2	a1	2.04	different
