onset	duration	stim_type	identity	orientation	reaction_time	response
15.06	5	face	id2	a1	n/a	n/a
20.07	5	face	id2	a1	1.87	same
25.07	5	face	id4	a5	1.93	different
30.07	5	face	id4	a1	1.82	same
35.07	5	face	id1	a2	1.83	different
40.07	5	face	id3	a4	1.91	different
45.07	5	face	id4	a2	1.94	different
50.07	5	face	id3	a1	1.91	different
55.07	5	face	id2	a5	1.93	different
60.07	5	face	id1	a5	1.8	different
65.07	5	face	id4	a3	1.84	different
70.07	5	face	id1	a1	1.77	different
75.08	5	face	id2	a4	1.98	different
80.08	5	face	id1	a3	1.9	different
85.08	5	face	id3	a5	1.86	different
90.08	5	face	id2	a2	1.92	different
95.08	5	face	id4	a4	1.75	different
100.08	5	face	id3	a3	1.75	different
105.08	5	face	id2	a3	1.75	different
110.08	5	face	id3	a2	1.87	different
115.06	5	fixation	n/a	n/a	n/a	n/a
120.09	5	face	id1	a4	1.81	different
125.1	5	face	id1	a4	1.76	same
130.1	5	face	id1	a2	1.99	same
135.1	5	face	id2	a1	1.82	different
140.1	5	face	id3	a1	1.81	different
145.1	5	face	id4	a1	1.81	different
150.1	5	face	id4	a2	1.75	same
155.1	5	face	id1	a3	1.75	different
160.1	5	face	id2	a5	1.96	different
165.1	5	face	id2	a2	2.76	same
170.1	5	face	id4	a5	1.75	different
175.1	5	face	id3	a3	1.81	different
180.11	5	face	id3	a2	1.75	same
185.11	5	face	id1	a5	1.75	different
190.11	5	face	id3	a4	1.9	different
195.11	5	face	id2	a4	1.75	different
200.11	5	face	id3	a5	1.82	different
205.11	5	face	id4	a4	1.81	different
210.11	5	face	id2	a3	1.96	different
215.11	5	face	id4	a3	1.93	different
220.09	5	fixation	n/a	n/a	n/a	n/a
225.11	5	face	id1	a1	1.88	different
230.13	5	face	id1	a1	1.75	same
235.13	5	face	id4	a4	1.92	different
240.13	5	face	id4	a2	1.77	same
245.13	5	face	id2	a2	1.87	different
250.13	5	face	id3	a1	1.8	different
255.13	5	face	id4	a3	1.75	different
260.13	5	face	id3	a5	1.81	different
265.13	5	face	id2	a5	1.88	different
270.13	5	face	id3	a2	1.8	different
275.13	5	face	id4	a5	1.8	different
280.13	5	face	id3	a4	1.94	different
285.14	5	face	id4	a1	1.92	different
290.14	5	face	id3	a3	1.79	different
295.14	5	face	id2	a1	1.92	different
300.14	5	face	id1	a2	1.83	different
305.14	5	face	id1	a3	1.76	same
310.14	5	face	id1	a4	1.91	same
315.14	5	face	id2	a3	1.91	different
320.14	5	face	id1	a5	1.83	different
325.12	5	fixation	n/a	n/a	n/a	n/a
330.14	5	face	id2	a4	1.85	different
