onset	duration	stim_type	identity	orientation	reaction_time	response
15.08	5	face	id3	a3	n/a	n/a
20.09	5	face	id3	a3	1.8	same
25.08	5	face	id1	a2	2.0	different
30.09	5	face	id1	a5	1.78	same
35.09	5	face	id4	a3	1.87	different
40.09	5	face	id3	a2	1.84	different
45.09	5	face	id3	a4	1.86	same
50.09	5	face	id4	a1	1.89	different
55.09	5	face	id3	a1	2.07	different
60.09	5	face	id1	a1	1.89	different
65.09	5	face	id1	a3	1.88	same
70.09	5	face	id1	a4	1.96	same
75.09	5	face	id2	a5	1.8	different
80.09	5	face	id4	a5	1.87	different
85.1	5	face	id3	a5	1.8	different
90.1	5	face	id2	a2	1.8	different
95.1	5	face	id4	a4	2.01	different
100.11	5	face	id4	a2	1.76	same
105.11	5	face	id2	a1	1.86	different
110.11	5	face	id2	a4	1.78	same
115.08	5	fixation	n/a	n/a	n/a	n/a
120.11	5	face	id2	a3	1.82	same
125.12	5	face	id2	a3	1.75	same
130.12	5	face	id4	a5	1.86	different
135.12	5	face	id2	a5	1.91	different
140.12	5	face	id4	a3	2.0	different
145.12	5	face	id3	a5	1.83	different
150.12	5	face	id3	a2	1.95	same
155.12	5	face	id4	a2	1.88	different
160.12	5	face	id3	a1	1.98	different
165.12	5	face	id2	a1	1.75	different
170.12	5	face	id4	a4	1.99	different
175.12	5	face	id1	a5	1.91	different
180.13	5	face	id4	a1	1.85	different
185.13	5	face	id2	a4	1.85	different
190.13	5	face	id3	a3	1.82	different
195.13	5	face	id1	a3	1.75	different
200.13	5	face	id3	a4	1.85	different
205.14	5	face	id1	a4	1.74	different
210.14	5	face	id2	a2	1.86	different
215.14	5	face	id1	a2	1.76	different
220.11	5	fixation	n/a	n/a	n/a	n/a
225.14	5	face	id1	a1	1.77	same
230.15	5	face	id1	a1	1.76	same
235.15	5	face	id3	a2	1.81	different
240.15	5	face	id2	a3	1.75	different
245.15	5	face	id1	a4	1.84	different
250.15	5	face	id4	a3	1.85	different
255.15	5	face	id1	a3	1.8	different
260.15	5	face	id1	a2	1.76	same
265.15	5	face	id3	a3	1.88	different
270.15	5	face	id4	a1	1.87	different
275.15	5	face	id3	a4	1.88	different
280.15	5	face	id3	a5	1.93	same
285.15	5	face	id2	a1	1.88	different
290.15	5	face	id4	a5	1.85	different
295.16	5	face	id4	a2	1.76	same
300.16	5	face	id2	a5	1.8	different
305.16	5	face	id3	a1	1.83	different
310.16	5	face	id1	a5	1.77	different
315.16	5	face	id2	a4	1.95	different
320.17	5	face	id4	a4	1.84	different
325.14	5	fixation	n/a	n/a	n/a	n/a
330.17	5	face	id2	a2	1.89	different
