onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id3	a3	n/a	n/a
20.07	5	face	id3	a3	2.02	same
25.07	5	face	id2	a5	2.36	different
30.07	5	face	id4	a1	2.17	different
35.07	5	face	id1	a1	2.12	different
40.07	5	face	id4	a2	2.04	different
45.07	5	face	id4	a3	1.99	same
50.07	5	face	id2	a1	2.16	different
55.07	5	face	id2	a3	1.96	same
60.07	5	face	id2	a2	1.99	same
65.05	5	fixation	n/a	n/a	n/a	n/a
70.07	5	face	id4	a4	1.93	different
75.09	5	face	id3	a1	1.83	different
80.09	5	face	id1	a3	1.88	different
85.09	5	face	id3	a5	2.17	different
90.09	5	face	id3	a4	1.89	same
95.09	5	face	id4	a5	2.26	different
100.09	5	face	id1	a2	2.15	different
105.09	5	face	id2	a4	2.0	different
110.09	5	face	id1	a5	2.06	same
115.09	5	face	id1	a4	1.93	same
120.09	5	face	id3	a2	1.94	different
125.09	5	face	id3	a2	1.98	same
130.09	5	face	id1	a3	1.98	different
135.09	5	face	id2	a5	2.33	different
140.1	5	face	id1	a1	2.09	different
145.1	5	face	id2	a4	1.83	different
150.1	5	face	id3	a4	1.87	different
155.1	5	face	id2	a1	2.08	different
160.1	5	face	id1	a2	2.0	different
165.1	5	face	id3	a3	1.99	different
170.1	5	face	id1	a4	1.97	different
175.1	5	face	id3	a1	2.07	different
180.1	5	face	id2	a3	1.89	different
185.1	5	face	id4	a2	1.94	different
190.1	5	face	id3	a5	2.01	different
195.08	5	fixation	n/a	n/a	n/a	n/a
200.11	5	face	id4	a1	1.89	different
205.12	5	face	id4	a3	1.91	same
210.12	5	face	id4	a4	2.04	same
215.12	5	face	id1	a5	2.01	different
220.12	5	face	id4	a5	2.0	different
225.12	5	face	id2	a2	1.97	different
230.12	5	face	id2	a2	1.93	same
235.12	5	face	id2	a5	1.99	same
240.12	5	face	id3	a2	2.07	different
245.12	5	face	id1	a2	1.93	different
250.12	5	face	id4	a3	2.9	different
255.12	5	face	id1	a3	2.04	different
260.12	5	face	id4	a2	2.27	different
265.12	5	face	id1	a5	2.04	different
270.14	5	face	id2	a1	1.97	different
275.14	5	face	id3	a5	2.04	different
280.14	5	face	id1	a4	1.89	different
285.14	5	face	id4	a4	1.95	different
290.14	5	face	id3	a4	1.92	different
295.14	5	face	id1	a1	1.98	different
300.14	5	face	id4	a1	2.07	different
305.14	5	face	id4	a5	1.89	same
310.14	5	face	id2	a3	2.0	different
315.14	5	face	id3	a1	2.09	different
320.14	5	face	id2	a4	1.98	different
325.14	5	face	id3	a3	1.89	different
330.11	5	fixation	n/a	n/a	n/a	n/a
