onset	duration	stim_type
0.0	12.02	fixation
12.06	1.5	object
14.05	1.53	object
16.05	1.53	object
17.35	0.0	button_press
18.05	1.53	object
20.05	1.53	object
22.05	1.53	object
24.05	12.02	fixation
36.07	1.5	face
38.07	1.5	face
40.07	1.5	face
42.07	1.5	face
44.07	1.5	face
45.21	0.0	button_press
46.07	1.5	face
48.07	12.02	fixation
60.1	1.51	face
62.1	1.5	face
64.1	1.5	face
66.1	1.5	face
68.1	1.51	face
69.59	0.0	button_press
70.1	1.5	face
72.1	12.02	fixation
84.13	1.51	object
86.13	1.5	object
88.13	1.5	object
90.13	1.51	object
92.13	1.51	object
92.97	0.0	button_press
94.13	1.51	object
96.13	12.02	fixation
108.15	1.5	object
110.15	1.51	object
112.15	1.51	object
114.15	1.5	object
115.0	0.0	button_press
116.15	1.5	object
118.16	1.51	object
120.16	12.02	fixation
132.18	1.71	face
134.18	1.5	face
136.18	1.5	face
138.18	1.5	face
138.91	0.0	button_press
140.18	1.5	face
142.18	1.5	face
144.18	12.02	fixation
156.21	1.5	face
158.21	1.51	face
160.21	1.5	face
162.21	1.5	face
163.35	0.0	button_press
164.21	1.5	face
166.21	1.5	face
168.21	12.02	fixation
180.24	1.51	object
182.24	1.51	object
184.24	1.51	object
184.97	0.0	button_press
186.24	1.5	object
188.24	1.5	object
190.24	1.51	object
192.24	12.02	fixation
204.26	1.5	object
206.26	1.5	object
208.26	1.5	object
210.26	1.5	object
210.9	0.0	button_press
212.26	1.5	object
214.26	1.5	object
216.27	12.02	fixation
228.29	1.51	face
230.29	1.51	face
232.29	1.51	face
234.29	1.51	face
236.29	1.51	face
238.29	1.51	face
239.56	0.0	button_press
240.29	12.02	fixation
252.32	1.52	face
254.32	1.51	face
256.32	1.51	face
258.32	1.51	face
259.64	0.0	button_press
260.32	1.53	face
262.32	1.51	face
264.32	12.02	fixation
276.35	1.51	object
278.35	1.5	object
279.19	0.0	button_press
280.35	1.51	object
282.35	1.5	object
284.35	1.5	object
286.35	1.51	object
288.35	12.02	fixation
300.37	1.5	object
302.37	1.5	object
304.37	1.5	object
304.94	0.0	button_press
306.37	1.51	object
308.37	1.51	object
310.37	1.5	object
312.38	12.02	fixation
324.4	1.5	face
326.4	1.5	face
328.4	1.5	face
329.31	0.0	button_press
330.4	1.5	face
332.4	1.51	face
334.4	1.51	face
336.4	12.02	fixation
348.43	1.51	face
350.43	1.5	face
352.43	1.51	face
354.43	1.51	face
355.41	0.0	button_press
356.43	1.51	face
358.43	1.51	face
360.43	12.02	fixation
372.46	1.5	object
374.47	1.51	object
376.46	1.51	object
378.47	1.51	object
380.46	1.52	object
381.12	0.0	button_press
382.46	1.52	object
384.46	12.01	fixation
