onset	duration	stim_type	identity	orientation	reaction_time	response
15.05	5	face	id3	a3	n/a	n/a
20.05	5	face	id3	a3	2.26	same
25.07	5	face	id1	a2	2.09	different
30.07	5	face	id1	a5	2.12	same
35.07	5	face	id4	a3	1.79	different
40.07	5	face	id3	a2	2.05	different
45.07	5	face	id3	a4	2.11	same
50.07	5	face	id4	a1	2.28	different
55.07	5	face	id3	a1	2.12	different
60.07	5	face	id1	a1	2.11	different
65.07	5	face	id1	a3	2.3	same
70.07	5	face	id1	a4	2.1	same
75.07	5	face	id2	a5	2.17	different
80.07	5	face	id4	a5	2.24	different
85.08	5	face	id3	a5	2.43	different
90.08	5	face	id2	a2	2.33	different
95.08	5	face	id4	a4	2.06	different
100.08	5	face	id4	a2	2.13	same
105.08	5	face	id2	a1	2.29	different
110.08	5	face	id2	a4	2.2	same
115.05	5	fixation	n/a	n/a	n/a	n/a
120.08	5	face	id2	a3	2.17	same
125.08	5	face	id2	a3	2.16	same
130.08	5	face	id4	a5	2.32	different
135.08	5	face	id2	a5	2.17	different
140.08	5	face	id4	a3	2.17	different
145.1	5	face	id3	a5	2.14	different
150.1	5	face	id3	a2	2.21	same
155.1	5	face	id4	a2	2.35	different
160.1	5	face	id3	a1	2.38	different
165.1	5	face	id2	a1	2.26	different
170.1	5	face	id4	a4	2.18	different
175.1	5	face	id1	a5	2.13	different
180.1	5	face	id4	a1	2.17	different
185.1	5	face	id2	a4	2.2	different
190.1	5	face	id3	a3	2.45	different
195.1	5	face	id1	a3	2.27	different
200.1	5	face	id3	a4	2.28	different
205.1	5	face	id1	a4	2.17	different
210.11	5	face	id2	a2	2.18	different
215.11	5	face	id1	a2	2.26	different
220.08	5	fixation	n/a	n/a	n/a	n/a
225.11	5	face	id1	a1	2.21	same
230.11	5	face	id1	a1	2.14	same
235.11	5	face	id3	a2	2.36	different
240.11	5	face	id2	a3	2.18	different
245.11	5	face	id1	a4	2.11	different
250.11	5	face	id4	a3	2.09	different
255.12	5	face	id1	a3	2.16	different
260.12	5	face	id1	a2	2.08	same
265.12	5	face	id3	a3	2.26	different
270.13	5	face	id4	a1	2.15	different
275.13	5	face	id3	a4	2.12	different
280.13	5	face	id3	a5	2.19	same
285.13	5	face	id2	a1	2.17	different
290.13	5	face	id4	a5	2.3	different
295.13	5	face	id4	a2	2.1	same
300.13	5	face	id2	a5	2.2	different
305.13	5	face	id3	a1	2.35	different
310.13	5	face	id1	a5	2.3	different
315.13	5	face	id2	a4	2.17	different
320.14	5	face	id4	a4	2.17	different
325.11	5	fixation	n/a	n/a	n/a	n/a
330.13	5	face	id2	a2	2.13	different
