onset	duration	stim_type	identity	orientation	reaction_time	response
15.06	5	face	id1	a2	n/a	n/a
20.05	5	face	id1	a2	2.14	same
25.06	5	face	id4	a2	2.06	different
30.06	5	face	id3	a1	2.05	different
35.06	5	face	id4	a1	2.04	different
40.06	5	face	id3	a3	2.11	different
45.06	5	face	id4	a4	2.17	different
50.06	5	face	id3	a4	2.12	different
55.06	5	face	id2	a1	2.19	different
60.04	5	fixation	n/a	n/a	n/a	n/a
65.07	5	face	id3	a2	2.06	different
70.07	5	face	id2	a5	2.12	different
75.07	5	face	id1	a3	2.08	different
80.08	5	face	id2	a4	2.12	different
85.08	5	face	id4	a5	2.12	different
90.08	5	face	id2	a3	2.04	different
95.08	5	face	id4	a3	2.01	different
100.08	5	face	id1	a4	1.84	different
105.08	5	face	id1	a5	2.15	same
110.08	5	face	id2	a2	2.07	different
115.08	5	face	id1	a1	2.06	different
120.08	5	face	id3	a5	2.22	different
125.08	5	face	id3	a5	2.2	same
130.08	5	face	id1	a2	2.16	different
135.08	5	face	id3	a1	2.13	different
140.1	5	face	id2	a2	2.03	different
145.1	5	face	id2	a4	2.13	same
150.1	5	face	id2	a5	2.19	same
155.1	5	face	id3	a4	2.24	different
160.1	5	face	id1	a4	2.23	different
165.1	5	face	id4	a4	2.08	different
170.1	5	face	id2	a3	2.16	different
175.1	5	face	id4	a5	2.13	different
180.1	5	face	id1	a1	2.17	different
185.1	5	face	id4	a1	2.09	different
190.1	5	face	id4	a2	2.1	same
195.11	5	face	id1	a5	2.06	different
200.11	5	face	id1	a3	2.11	same
205.11	5	face	id2	a1	2.14	different
210.11	5	face	id3	a3	1.97	different
215.11	5	face	id3	a2	2.22	same
220.08	5	fixation	n/a	n/a	n/a	n/a
225.11	5	face	id4	a3	2.09	different
230.11	5	face	id4	a3	2.18	same
235.11	5	face	id3	a1	2.27	different
240.11	5	face	id2	a4	1.89	different
245.11	5	face	id2	a2	2.36	same
250.11	5	face	id3	a4	2.16	different
255.13	5	face	id4	a1	2.06	different
260.13	5	face	id1	a4	1.92	different
265.13	5	face	id2	a3	1.81	different
270.13	5	face	id2	a5	2.46	same
275.13	5	face	id4	a2	2.17	different
280.13	5	face	id3	a5	2.15	different
285.13	5	face	id3	a2	2.15	same
290.13	5	face	id3	a3	2.19	same
295.13	5	face	id2	a1	2.26	different
300.13	5	face	id1	a1	2.19	different
305.13	5	face	id1	a3	2.11	same
310.13	5	face	id1	a2	2.16	same
315.13	5	face	id1	a5	2.21	same
320.14	5	face	id4	a4	2.07	different
325.11	5	fixation	n/a	n/a	n/a	n/a
330.13	5	face	id4	a5	2.13	same
