onset	duration	stim_type	identity	orientation	reaction_time	response
15.05	5	face	id3	a3	n/a	n/a
20.07	5	face	id3	a3	1.93	same
25.07	5	face	id1	a2	2.37	different
30.07	5	face	id1	a5	2.15	same
35.07	5	face	id4	a3	2.02	different
40.07	5	face	id3	a2	1.82	different
45.07	5	face	id3	a4	1.98	same
50.07	5	face	id4	a1	2.19	different
55.07	5	face	id3	a1	2.06	different
60.07	5	face	id1	a1	3.49	different
65.07	5	face	id1	a3	2.0	same
70.07	5	face	id1	a4	2.01	same
75.07	5	face	id2	a5	1.95	different
80.07	5	face	id4	a5	2.26	different
85.07	5	face	id3	a5	2.02	different
90.08	5	face	id2	a2	2.25	different
95.08	5	face	id4	a4	2.06	different
100.08	5	face	id4	a2	1.91	same
105.08	5	face	id2	a1	2.14	different
110.08	5	face	id2	a4	2.05	same
115.05	5	fixation	n/a	n/a	n/a	n/a
120.08	5	face	id2	a3	2.07	same
125.08	5	face	id2	a3	2.05	same
130.09	5	face	id4	a5	2.0	different
135.09	5	face	id2	a5	2.32	different
140.1	5	face	id4	a3	2.04	different
145.1	5	face	id3	a5	2.1	different
150.1	5	face	id3	a2	2.2	same
155.1	5	face	id4	a2	2.12	different
160.1	5	face	id3	a1	2.8	different
165.1	5	face	id2	a1	2.8	different
170.1	5	face	id4	a4	2.55	different
175.1	5	face	id1	a5	2.48	different
180.1	5	face	id4	a1	2.3	different
185.1	5	face	id2	a4	2.64	different
190.1	5	face	id3	a3	n/a	n/a
195.1	5	face	id1	a3	2.19	different
200.1	5	face	id3	a4	2.91	different
205.12	5	face	id1	a4	1.93	different
210.12	5	face	id2	a2	1.84	different
215.12	5	face	id1	a2	3.04	different
220.08	5	fixation	n/a	n/a	n/a	n/a
225.12	5	face	id1	a1	2.42	same
230.12	5	face	id1	a1	2.09	same
235.12	5	face	id3	a2	2.51	different
240.12	5	face	id2	a3	2.13	different
245.12	5	face	id1	a4	2.17	different
250.12	5	face	id4	a3	2.24	different
255.12	5	face	id1	a3	n/a	n/a
260.12	5	face	id1	a2	2.11	different
265.12	5	face	id3	a3	2.1	different
270.13	5	face	id4	a1	2.19	different
275.13	5	face	id3	a4	2.06	different
280.13	5	face	id3	a5	2.03	same
285.13	5	face	id2	a1	3.92	different
290.13	5	face	id4	a5	2.2	different
295.13	5	face	id4	a2	2.06	same
300.13	5	face	id2	a5	2.09	different
305.13	5	face	id3	a1	2.19	different
310.13	5	face	id1	a5	2.3	different
315.13	5	face	id2	a4	2.13	different
320.13	5	face	id4	a4	2.28	different
325.11	5	fixation	n/a	n/a	n/a	n/a
330.13	5	face	id2	a2	2.42	different
