onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id2	a2	n/a	n/a
20.07	5	face	id2	a2	1.86	same
25.07	5	face	id2	a3	2.02	same
30.07	5	face	id2	a1	1.99	same
35.07	5	face	id3	a5	1.88	different
40.07	5	face	id1	a4	1.91	different
45.07	5	face	id4	a1	1.95	different
50.07	5	face	id1	a2	1.96	different
55.07	5	face	id3	a2	2.11	different
60.07	5	face	id2	a4	2.18	different
65.07	5	face	id4	a3	1.89	different
70.09	5	face	id4	a2	2.06	same
75.09	5	face	id3	a3	1.96	different
80.09	5	face	id1	a1	1.83	different
85.09	5	face	id3	a4	2.18	different
90.09	5	face	id3	a1	2.08	same
95.09	5	face	id1	a3	2.08	different
100.09	5	face	id4	a4	1.93	different
105.09	5	face	id1	a5	2.19	different
110.09	5	face	id4	a5	2.47	different
115.06	5	fixation	n/a	n/a	n/a	n/a
120.09	5	face	id2	a5	2.04	different
125.1	5	face	id2	a5	2.21	same
130.1	5	face	id2	a1	1.96	same
135.1	5	face	id1	a2	2.28	different
140.1	5	face	id2	a3	1.89	different
145.1	5	face	id2	a4	2.04	same
150.1	5	face	id3	a2	2.21	different
155.11	5	face	id1	a1	4.29	different
160.11	5	face	id4	a3	2.08	different
165.08	5	fixation	n/a	n/a	n/a	n/a
170.11	5	face	id1	a5	1.83	different
175.11	5	face	id3	a4	2.07	different
180.11	5	face	id4	a5	2.32	different
185.12	5	face	id4	a1	2.3	same
190.12	5	face	id3	a5	2.15	different
195.12	5	face	id4	a2	2.2	different
200.12	5	face	id1	a4	2.09	different
205.12	5	face	id1	a3	2.05	same
210.12	5	face	id2	a2	2.52	different
215.12	5	face	id4	a4	2.38	different
220.12	5	face	id3	a1	2.72	different
225.12	5	face	id3	a3	2.34	same
230.12	5	face	id3	a3	2.38	same
235.12	5	face	id2	a4	3.03	different
240.12	5	face	id3	a4	2.02	different
245.12	5	face	id3	a5	1.98	same
250.12	5	face	id4	a1	2.21	different
255.14	5	face	id3	a2	2.34	different
260.14	5	face	id1	a5	1.98	different
265.14	5	face	id2	a1	2.14	different
270.14	5	face	id4	a2	1.87	different
275.14	5	face	id2	a3	2.14	different
280.14	5	face	id2	a2	1.95	same
285.14	5	face	id4	a3	2.11	same
290.14	5	face	id4	a5	1.98	same
295.14	5	face	id1	a3	2.09	different
300.14	5	face	id1	a4	2.24	same
305.14	5	face	id3	a1	2.32	different
310.14	5	face	id1	a2	2.74	different
315.14	5	face	id4	a4	2.11	different
320.15	5	face	id1	a1	2.17	different
325.15	5	face	id2	a5	1.94	different
330.12	5	fixation	n/a	n/a	n/a	n/a
