onset	duration	stim_type	identity	orientation	reaction_time	response
15.03	5	fixation	n/a	n/a	n/a	n/a
20.03	5	fixation	n/a	n/a	n/a	n/a
25.06	5	face	id2	a5	1.75	different
30.06	5	face	id1	a1	2.23	different
35.07	5	face	id4	a4	2.16	different
40.07	5	face	id1	a2	2.46	different
45.07	5	face	id3	a1	2.22	different
50.07	5	face	id1	a4	2.48	different
55.07	5	face	id1	a3	2.33	same
60.07	5	face	id4	a5	2.15	different
65.08	5	face	id4	a3	3.51	same
70.08	5	face	id2	a2	2.11	different
75.08	5	face	id2	a3	2.23	same
80.08	5	face	id4	a2	1.97	different
85.08	5	face	id2	a1	2.08	different
90.08	5	face	id1	a5	2.53	different
95.08	5	face	id3	a2	2.49	different
100.08	5	face	id4	a1	2.11	different
105.08	5	face	id3	a5	2.27	different
110.08	5	face	id3	a4	2.16	same
115.08	5	face	id2	a4	2.61	different
120.08	5	face	id3	a3	2.23	different
125.08	5	face	id3	a3	2.17	same
130.08	5	face	id3	a1	2.12	same
135.1	5	face	id4	a4	2.54	different
140.1	5	face	id2	a2	2.68	different
145.1	5	face	id1	a3	2.11	different
150.1	5	face	id1	a4	2.3	same
155.1	5	face	id4	a2	2.45	different
160.1	5	face	id3	a5	2.35	different
165.1	5	face	id4	a1	2.18	different
170.1	5	face	id4	a5	2.94	same
175.11	5	face	id3	a4	2.26	different
180.1	5	face	id1	a5	2.59	different
185.08	5	fixation	n/a	n/a	n/a	n/a
190.1	5	face	id4	a3	2.19	different
195.11	5	face	id1	a1	2.38	different
200.11	5	face	id3	a2	2.43	different
205.11	5	face	id2	a4	2.12	different
210.11	5	face	id2	a3	2.1	same
215.11	5	face	id1	a2	2.13	different
220.11	5	face	id2	a1	2.45	different
225.11	5	face	id2	a5	2.13	same
230.11	5	face	id2	a5	2.51	same
235.09	5	fixation	n/a	n/a	n/a	n/a
240.11	5	face	id4	a5	1.98	different
245.11	5	face	id1	a5	2.26	different
250.13	5	face	id4	a4	2.4	same
255.13	5	face	id1	a3	2.07	different
260.13	5	face	id3	a1	2.15	different
265.13	5	face	id3	a4	2.15	same
270.13	5	face	id1	a1	2.12	different
275.13	5	face	id3	a3	2.27	different
280.13	5	face	id4	a2	3.03	different
285.13	5	face	id4	a3	2.28	same
290.13	5	face	id2	a4	2.21	different
295.13	5	face	id3	a2	2.51	different
300.13	5	face	id1	a2	2.13	different
305.13	5	face	id4	a1	2.16	different
310.14	5	face	id1	a4	2.21	different
315.14	5	face	id3	a5	2.31	different
320.14	5	face	id2	a1	2.24	different
325.14	5	face	id2	a3	2.13	same
330.14	5	face	id2	a2	2.09	same
